V1,V2,set,DM_range
30.0,9009.0,1,20to30
30.0,9010.0,2,20to30
29.0,8877.0,3,20to30
21.0,8535.0,4,20to30
30.0,8949.0,5,20to30
30.0,8894.0,6,20to30
30.0,9027.0,7,20to30
30.0,8940.0,8,20to30
30.0,8845.0,9,20to30
30.0,8949.0,10,20to30
30.0,8817.0,11,20to30
30.0,8870.0,12,20to30
30.0,8943.0,13,20to30
30.0,8942.0,14,20to30
30.0,8901.0,15,20to30
30.0,8923.0,16,20to30
30.0,8992.0,17,20to30
30.0,8846.0,18,20to30
30.0,8954.0,19,20to30
30.0,8856.0,20,20to30
19.0,8492.0,21,20to30
30.0,8929.0,22,20to30
30.0,9022.0,23,20to30
30.0,8995.0,24,20to30
30.0,8942.0,25,20to30
30.0,8950.0,26,20to30
30.0,8987.0,27,20to30
24.0,8565.0,28,20to30
30.0,8912.0,29,20to30
39.0,9344.0,0,30to40
31.0,8990.0,1,30to40
40.0,9291.0,2,30to40
40.0,9380.0,3,30to40
40.0,9263.0,4,30to40
40.0,9281.0,5,30to40
39.0,9271.0,6,30to40
39.0,9327.0,7,30to40
33.0,9087.0,8,30to40
40.0,9375.0,9,30to40
34.0,9095.0,10,30to40
40.0,9301.0,11,30to40
40.0,9274.0,12,30to40
40.0,9228.0,13,30to40
40.0,9326.0,14,30to40
40.0,9316.0,15,30to40
33.0,9148.0,16,30to40
40.0,9258.0,17,30to40
33.0,9259.0,18,30to40
40.0,9263.0,19,30to40
40.0,9381.0,20,30to40
39.0,9464.0,21,30to40
40.0,9307.0,22,30to40
40.0,9372.0,23,30to40
40.0,9305.0,24,30to40
40.0,9336.0,25,30to40
40.0,9326.0,26,30to40
40.0,9328.0,27,30to40
39.0,9322.0,28,30to40
39.0,9246.0,29,30to40
20.0,8538.0,0,10to20
20.0,8602.0,1,10to20
19.0,8440.0,2,10to20
20.0,8542.0,3,10to20
20.0,8549.0,4,10to20
20.0,8471.0,5,10to20
19.0,8348.0,6,10to20
20.0,8403.0,7,10to20
20.0,8446.0,8,10to20
20.0,8476.0,9,10to20
20.0,8557.0,10,10to20
20.0,8570.0,11,10to20
20.0,8369.0,12,10to20
12.0,8065.0,13,10to20
20.0,8446.0,14,10to20
20.0,8447.0,15,10to20
14.0,8191.0,16,10to20
20.0,8379.0,17,10to20
20.0,8576.0,18,10to20
20.0,8473.0,19,10to20
20.0,8535.0,20,10to20
13.0,8192.0,21,10to20
20.0,8453.0,22,10to20
20.0,8557.0,23,10to20
20.0,8441.0,24,10to20
20.0,8492.0,25,10to20
20.0,8269.0,26,10to20
20.0,8560.0,27,10to20
20.0,8426.0,28,10to20
17.0,8300.0,29,10to20
30.0,9049.0,0,20to30
30.0,9009.0,1,20to30
30.0,9010.0,2,20to30
29.0,8877.0,3,20to30
21.0,8535.0,4,20to30
30.0,8949.0,5,20to30
30.0,8894.0,6,20to30
30.0,9027.0,7,20to30
30.0,8940.0,8,20to30
30.0,8845.0,9,20to30
30.0,8949.0,10,20to30
30.0,8817.0,11,20to30
30.0,8870.0,12,20to30
30.0,8943.0,13,20to30
30.0,8942.0,14,20to30
30.0,8901.0,15,20to30
30.0,8923.0,16,20to30
30.0,8992.0,17,20to30
30.0,8846.0,18,20to30
30.0,8954.0,19,20to30
30.0,8856.0,20,20to30
19.0,8492.0,21,20to30
30.0,8929.0,22,20to30
30.0,9022.0,23,20to30
30.0,8995.0,24,20to30
30.0,8942.0,25,20to30
30.0,8950.0,26,20to30
30.0,8987.0,27,20to30
24.0,8565.0,28,20to30
30.0,8912.0,29,20to30
39.0,9344.0,0,30to40
31.0,8990.0,1,30to40
40.0,9291.0,2,30to40
40.0,9380.0,3,30to40
40.0,9263.0,4,30to40
40.0,9281.0,5,30to40
39.0,9271.0,6,30to40
39.0,9327.0,7,30to40
33.0,9087.0,8,30to40
40.0,9375.0,9,30to40
34.0,9095.0,10,30to40
40.0,9301.0,11,30to40
40.0,9274.0,12,30to40
40.0,9228.0,13,30to40
40.0,9326.0,14,30to40
40.0,9316.0,15,30to40
33.0,9148.0,16,30to40
40.0,9258.0,17,30to40
33.0,9259.0,18,30to40
40.0,9263.0,19,30to40
40.0,9381.0,20,30to40
39.0,9464.0,21,30to40
40.0,9307.0,22,30to40
40.0,9372.0,23,30to40
40.0,9305.0,24,30to40
40.0,9336.0,25,30to40
40.0,9326.0,26,30to40
40.0,9328.0,27,30to40
39.0,9322.0,28,30to40
39.0,9246.0,29,30to40
20.0,8538.0,0,10to20
20.0,8602.0,1,10to20
19.0,8440.0,2,10to20
20.0,8542.0,3,10to20
20.0,8549.0,4,10to20
20.0,8471.0,5,10to20
19.0,8348.0,6,10to20
20.0,8403.0,7,10to20
20.0,8446.0,8,10to20
20.0,8476.0,9,10to20
20.0,8557.0,10,10to20
20.0,8570.0,11,10to20
20.0,8369.0,12,10to20
12.0,8065.0,13,10to20
20.0,8446.0,14,10to20
20.0,8447.0,15,10to20
14.0,8191.0,16,10to20
20.0,8379.0,17,10to20
20.0,8576.0,18,10to20
20.0,8473.0,19,10to20
20.0,8535.0,20,10to20
13.0,8192.0,21,10to20
20.0,8453.0,22,10to20
20.0,8557.0,23,10to20
20.0,8441.0,24,10to20
20.0,8492.0,25,10to20
20.0,8269.0,26,10to20
20.0,8560.0,27,10to20
20.0,8426.0,28,10to20
17.0,8300.0,29,10to20
30.0,9049.0,0,20to30
30.0,9009.0,1,20to30
30.0,9010.0,2,20to30
29.0,8877.0,3,20to30
21.0,8535.0,4,20to30
30.0,8949.0,5,20to30
30.0,8894.0,6,20to30
30.0,9027.0,7,20to30
30.0,8940.0,8,20to30
30.0,8845.0,9,20to30
30.0,8949.0,10,20to30
30.0,8817.0,11,20to30
30.0,8870.0,12,20to30
30.0,8943.0,13,20to30
30.0,8942.0,14,20to30
30.0,8901.0,15,20to30
30.0,8923.0,16,20to30
30.0,8992.0,17,20to30
30.0,8846.0,18,20to30
30.0,8954.0,19,20to30
30.0,8856.0,20,20to30
19.0,8492.0,21,20to30
30.0,8929.0,22,20to30
30.0,9022.0,23,20to30
30.0,8995.0,24,20to30
30.0,8942.0,25,20to30
30.0,8950.0,26,20to30
30.0,8987.0,27,20to30
24.0,8565.0,28,20to30
30.0,8912.0,29,20to30
39.0,9344.0,0,30to40
31.0,8990.0,1,30to40
40.0,9291.0,2,30to40
40.0,9380.0,3,30to40
40.0,9263.0,4,30to40
40.0,9281.0,5,30to40
39.0,9271.0,6,30to40
39.0,9327.0,7,30to40
33.0,9087.0,8,30to40
40.0,9375.0,9,30to40
34.0,9095.0,10,30to40
40.0,9301.0,11,30to40
40.0,9274.0,12,30to40
40.0,9228.0,13,30to40
40.0,9326.0,14,30to40
40.0,9316.0,15,30to40
33.0,9148.0,16,30to40
40.0,9258.0,17,30to40
33.0,9259.0,18,30to40
40.0,9263.0,19,30to40
40.0,9381.0,20,30to40
39.0,9464.0,21,30to40
40.0,9307.0,22,30to40
40.0,9372.0,23,30to40
40.0,9305.0,24,30to40
40.0,9336.0,25,30to40
40.0,9326.0,26,30to40
40.0,9328.0,27,30to40
39.0,9322.0,28,30to40
39.0,9246.0,29,30to40
20.0,8538.0,0,10to20
20.0,8602.0,1,10to20
19.0,8440.0,2,10to20
20.0,8542.0,3,10to20
20.0,8549.0,4,10to20
20.0,8471.0,5,10to20
19.0,8348.0,6,10to20
20.0,8403.0,7,10to20
20.0,8446.0,8,10to20
20.0,8476.0,9,10to20
20.0,8557.0,10,10to20
20.0,8570.0,11,10to20
20.0,8369.0,12,10to20
12.0,8065.0,13,10to20
20.0,8446.0,14,10to20
20.0,8447.0,15,10to20
14.0,8191.0,16,10to20
20.0,8379.0,17,10to20
20.0,8576.0,18,10to20
20.0,8473.0,19,10to20
20.0,8535.0,20,10to20
13.0,8192.0,21,10to20
20.0,8453.0,22,10to20
20.0,8557.0,23,10to20
20.0,8441.0,24,10to20
20.0,8492.0,25,10to20
20.0,8269.0,26,10to20
20.0,8560.0,27,10to20
20.0,8426.0,28,10to20
17.0,8300.0,29,10to20
30.0,9049.0,0,20to30
30.0,9009.0,1,20to30
30.0,9010.0,2,20to30
29.0,8877.0,3,20to30
21.0,8535.0,4,20to30
30.0,8949.0,5,20to30
30.0,8894.0,6,20to30
30.0,9027.0,7,20to30
30.0,8940.0,8,20to30
30.0,8845.0,9,20to30
30.0,8949.0,10,20to30
30.0,8817.0,11,20to30
30.0,8870.0,12,20to30
30.0,8943.0,13,20to30
30.0,8942.0,14,20to30
30.0,8901.0,15,20to30
30.0,8923.0,16,20to30
30.0,8992.0,17,20to30
30.0,8846.0,18,20to30
30.0,8954.0,19,20to30
30.0,8856.0,20,20to30
19.0,8492.0,21,20to30
30.0,8929.0,22,20to30
30.0,9022.0,23,20to30
30.0,8995.0,24,20to30
30.0,8942.0,25,20to30
30.0,8950.0,26,20to30
30.0,8987.0,27,20to30
24.0,8565.0,28,20to30
30.0,8912.0,29,20to30
39.0,9344.0,0,30to40
31.0,8990.0,1,30to40
40.0,9291.0,2,30to40
40.0,9380.0,3,30to40
40.0,9263.0,4,30to40
40.0,9281.0,5,30to40
39.0,9271.0,6,30to40
39.0,9327.0,7,30to40
33.0,9087.0,8,30to40
40.0,9375.0,9,30to40
34.0,9095.0,10,30to40
40.0,9301.0,11,30to40
40.0,9274.0,12,30to40
40.0,9228.0,13,30to40
40.0,9326.0,14,30to40
40.0,9316.0,15,30to40
33.0,9148.0,16,30to40
40.0,9258.0,17,30to40
33.0,9259.0,18,30to40
40.0,9263.0,19,30to40
40.0,9381.0,20,30to40
39.0,9464.0,21,30to40
40.0,9307.0,22,30to40
40.0,9372.0,23,30to40
40.0,9305.0,24,30to40
40.0,9336.0,25,30to40
40.0,9326.0,26,30to40
40.0,9328.0,27,30to40
39.0,9322.0,28,30to40
39.0,9246.0,29,30to40
20.0,8538.0,0,10to20
20.0,8602.0,1,10to20
19.0,8440.0,2,10to20
20.0,8542.0,3,10to20
20.0,8549.0,4,10to20
20.0,8471.0,5,10to20
19.0,8348.0,6,10to20
20.0,8403.0,7,10to20
20.0,8446.0,8,10to20
20.0,8476.0,9,10to20
20.0,8557.0,10,10to20
20.0,8570.0,11,10to20
20.0,8369.0,12,10to20
12.0,8065.0,13,10to20
20.0,8446.0,14,10to20
20.0,8447.0,15,10to20
14.0,8191.0,16,10to20
20.0,8379.0,17,10to20
20.0,8576.0,18,10to20
20.0,8473.0,19,10to20
20.0,8535.0,20,10to20
13.0,8192.0,21,10to20
20.0,8453.0,22,10to20
20.0,8557.0,23,10to20
20.0,8441.0,24,10to20
20.0,8492.0,25,10to20
20.0,8269.0,26,10to20
20.0,8560.0,27,10to20
20.0,8426.0,28,10to20
17.0,8300.0,29,10to20
30.0,9049.0,0,20to30
30.0,9009.0,1,20to30
30.0,9010.0,2,20to30
29.0,8877.0,3,20to30
21.0,8535.0,4,20to30
30.0,8949.0,5,20to30
30.0,8894.0,6,20to30
30.0,9027.0,7,20to30
30.0,8940.0,8,20to30
30.0,8845.0,9,20to30
30.0,8949.0,10,20to30
30.0,8817.0,11,20to30
30.0,8870.0,12,20to30
30.0,8943.0,13,20to30
30.0,8942.0,14,20to30
30.0,8901.0,15,20to30
30.0,8923.0,16,20to30
30.0,8992.0,17,20to30
30.0,8846.0,18,20to30
30.0,8954.0,19,20to30
30.0,8856.0,20,20to30
19.0,8492.0,21,20to30
30.0,8929.0,22,20to30
30.0,9022.0,23,20to30
30.0,8995.0,24,20to30
30.0,8942.0,25,20to30
30.0,8950.0,26,20to30
30.0,8987.0,27,20to30
24.0,8565.0,28,20to30
30.0,8912.0,29,20to30
39.0,9344.0,0,30to40
31.0,8990.0,1,30to40
40.0,9291.0,2,30to40
40.0,9380.0,3,30to40
40.0,9263.0,4,30to40
40.0,9281.0,5,30to40
39.0,9271.0,6,30to40
39.0,9327.0,7,30to40
33.0,9087.0,8,30to40
40.0,9375.0,9,30to40
34.0,9095.0,10,30to40
40.0,9301.0,11,30to40
40.0,9274.0,12,30to40
40.0,9228.0,13,30to40
40.0,9326.0,14,30to40
40.0,9316.0,15,30to40
33.0,9148.0,16,30to40
40.0,9258.0,17,30to40
33.0,9259.0,18,30to40
40.0,9263.0,19,30to40
40.0,9381.0,20,30to40
39.0,9464.0,21,30to40
40.0,9307.0,22,30to40
40.0,9372.0,23,30to40
40.0,9305.0,24,30to40
40.0,9336.0,25,30to40
40.0,9326.0,26,30to40
40.0,9328.0,27,30to40
39.0,9322.0,28,30to40
39.0,9246.0,29,30to40
20.0,8538.0,0,10to20
20.0,8602.0,1,10to20
19.0,8440.0,2,10to20
20.0,8542.0,3,10to20
20.0,8549.0,4,10to20
20.0,8471.0,5,10to20
19.0,8348.0,6,10to20
20.0,8403.0,7,10to20
20.0,8446.0,8,10to20
20.0,8476.0,9,10to20
20.0,8557.0,10,10to20
20.0,8570.0,11,10to20
20.0,8369.0,12,10to20
12.0,8065.0,13,10to20
20.0,8446.0,14,10to20
20.0,8447.0,15,10to20
14.0,8191.0,16,10to20
20.0,8379.0,17,10to20
20.0,8576.0,18,10to20
20.0,8473.0,19,10to20
20.0,8535.0,20,10to20
13.0,8192.0,21,10to20
20.0,8453.0,22,10to20
20.0,8557.0,23,10to20
20.0,8441.0,24,10to20
20.0,8492.0,25,10to20
20.0,8269.0,26,10to20
20.0,8560.0,27,10to20
20.0,8426.0,28,10to20
17.0,8300.0,29,10to20
30.0,9049.0,0,20to30
30.0,9009.0,1,20to30
30.0,9010.0,2,20to30
29.0,8877.0,3,20to30
21.0,8535.0,4,20to30
30.0,8949.0,5,20to30
30.0,8894.0,6,20to30
30.0,9027.0,7,20to30
30.0,8940.0,8,20to30
30.0,8845.0,9,20to30
30.0,8949.0,10,20to30
30.0,8817.0,11,20to30
30.0,8870.0,12,20to30
30.0,8943.0,13,20to30
30.0,8942.0,14,20to30
30.0,8901.0,15,20to30
30.0,8923.0,16,20to30
30.0,8992.0,17,20to30
30.0,8846.0,18,20to30
30.0,8954.0,19,20to30
30.0,8856.0,20,20to30
19.0,8492.0,21,20to30
30.0,8929.0,22,20to30
30.0,9022.0,23,20to30
30.0,8995.0,24,20to30
30.0,8942.0,25,20to30
30.0,8950.0,26,20to30
30.0,8987.0,27,20to30
24.0,8565.0,28,20to30
30.0,8912.0,29,20to30
39.0,9344.0,0,30to40
31.0,8990.0,1,30to40
40.0,9291.0,2,30to40
40.0,9380.0,3,30to40
40.0,9263.0,4,30to40
40.0,9281.0,5,30to40
39.0,9271.0,6,30to40
39.0,9327.0,7,30to40
33.0,9087.0,8,30to40
40.0,9375.0,9,30to40
34.0,9095.0,10,30to40
40.0,9301.0,11,30to40
40.0,9274.0,12,30to40
40.0,9228.0,13,30to40
40.0,9326.0,14,30to40
40.0,9316.0,15,30to40
33.0,9148.0,16,30to40
40.0,9258.0,17,30to40
33.0,9259.0,18,30to40
40.0,9263.0,19,30to40
40.0,9381.0,20,30to40
39.0,9464.0,21,30to40
40.0,9307.0,22,30to40
40.0,9372.0,23,30to40
40.0,9305.0,24,30to40
40.0,9336.0,25,30to40
40.0,9326.0,26,30to40
40.0,9328.0,27,30to40
39.0,9322.0,28,30to40
39.0,9246.0,29,30to40
20.0,8538.0,0,10to20
20.0,8602.0,1,10to20
19.0,8440.0,2,10to20
20.0,8542.0,3,10to20
20.0,8549.0,4,10to20
20.0,8471.0,5,10to20
19.0,8348.0,6,10to20
20.0,8403.0,7,10to20
20.0,8446.0,8,10to20
20.0,8476.0,9,10to20
20.0,8557.0,10,10to20
20.0,8570.0,11,10to20
20.0,8369.0,12,10to20
12.0,8065.0,13,10to20
20.0,8446.0,14,10to20
20.0,8447.0,15,10to20
14.0,8191.0,16,10to20
20.0,8379.0,17,10to20
20.0,8576.0,18,10to20
20.0,8473.0,19,10to20
20.0,8535.0,20,10to20
13.0,8192.0,21,10to20
20.0,8453.0,22,10to20
20.0,8557.0,23,10to20
20.0,8441.0,24,10to20
20.0,8492.0,25,10to20
20.0,8269.0,26,10to20
20.0,8560.0,27,10to20
20.0,8426.0,28,10to20
17.0,8300.0,29,10to20
30.0,9049.0,0,20to30
30.0,9009.0,1,20to30
30.0,9010.0,2,20to30
29.0,8877.0,3,20to30
21.0,8535.0,4,20to30
30.0,8949.0,5,20to30
30.0,8894.0,6,20to30
30.0,9027.0,7,20to30
30.0,8940.0,8,20to30
30.0,8845.0,9,20to30
30.0,8949.0,10,20to30
30.0,8817.0,11,20to30
30.0,8870.0,12,20to30
30.0,8943.0,13,20to30
30.0,8942.0,14,20to30
30.0,8901.0,15,20to30
30.0,8923.0,16,20to30
30.0,8992.0,17,20to30
30.0,8846.0,18,20to30
30.0,8954.0,19,20to30
30.0,8856.0,20,20to30
19.0,8492.0,21,20to30
30.0,8929.0,22,20to30
30.0,9022.0,23,20to30
30.0,8995.0,24,20to30
30.0,8942.0,25,20to30
30.0,8950.0,26,20to30
30.0,8987.0,27,20to30
24.0,8565.0,28,20to30
30.0,8912.0,29,20to30
39.0,9344.0,0,30to40
31.0,8990.0,1,30to40
40.0,9291.0,2,30to40
40.0,9380.0,3,30to40
40.0,9263.0,4,30to40
40.0,9281.0,5,30to40
39.0,9271.0,6,30to40
39.0,9327.0,7,30to40
33.0,9087.0,8,30to40
40.0,9375.0,9,30to40
34.0,9095.0,10,30to40
40.0,9301.0,11,30to40
40.0,9274.0,12,30to40
40.0,9228.0,13,30to40
40.0,9326.0,14,30to40
40.0,9316.0,15,30to40
33.0,9148.0,16,30to40
40.0,9258.0,17,30to40
33.0,9259.0,18,30to40
40.0,9263.0,19,30to40
40.0,9381.0,20,30to40
39.0,9464.0,21,30to40
40.0,9307.0,22,30to40
40.0,9372.0,23,30to40
40.0,9305.0,24,30to40
40.0,9336.0,25,30to40
40.0,9326.0,26,30to40
40.0,9328.0,27,30to40
39.0,9322.0,28,30to40
39.0,9246.0,29,30to40
20.0,8538.0,0,10to20
20.0,8602.0,1,10to20
19.0,8440.0,2,10to20
20.0,8542.0,3,10to20
20.0,8549.0,4,10to20
20.0,8471.0,5,10to20
19.0,8348.0,6,10to20
20.0,8403.0,7,10to20
20.0,8446.0,8,10to20
20.0,8476.0,9,10to20
20.0,8557.0,10,10to20
20.0,8570.0,11,10to20
20.0,8369.0,12,10to20
12.0,8065.0,13,10to20
20.0,8446.0,14,10to20
20.0,8447.0,15,10to20
14.0,8191.0,16,10to20
20.0,8379.0,17,10to20
20.0,8576.0,18,10to20
20.0,8473.0,19,10to20
20.0,8535.0,20,10to20
13.0,8192.0,21,10to20
20.0,8453.0,22,10to20
20.0,8557.0,23,10to20
20.0,8441.0,24,10to20
20.0,8492.0,25,10to20
20.0,8269.0,26,10to20
20.0,8560.0,27,10to20
20.0,8426.0,28,10to20
17.0,8300.0,29,10to20
30.0,9049.0,0,20to30
30.0,9009.0,1,20to30
30.0,9010.0,2,20to30
29.0,8877.0,3,20to30
21.0,8535.0,4,20to30
30.0,8949.0,5,20to30
30.0,8894.0,6,20to30
30.0,9027.0,7,20to30
30.0,8940.0,8,20to30
30.0,8845.0,9,20to30
30.0,8949.0,10,20to30
30.0,8817.0,11,20to30
30.0,8870.0,12,20to30
30.0,8943.0,13,20to30
30.0,8942.0,14,20to30
30.0,8901.0,15,20to30
30.0,8923.0,16,20to30
30.0,8992.0,17,20to30
30.0,8846.0,18,20to30
30.0,8954.0,19,20to30
30.0,8856.0,20,20to30
19.0,8492.0,21,20to30
30.0,8929.0,22,20to30
30.0,9022.0,23,20to30
30.0,8995.0,24,20to30
30.0,8942.0,25,20to30
30.0,8950.0,26,20to30
30.0,8987.0,27,20to30
24.0,8565.0,28,20to30
30.0,8912.0,29,20to30
39.0,9344.0,0,30to40
31.0,8990.0,1,30to40
40.0,9291.0,2,30to40
40.0,9380.0,3,30to40
40.0,9263.0,4,30to40
40.0,9281.0,5,30to40
39.0,9271.0,6,30to40
39.0,9327.0,7,30to40
33.0,9087.0,8,30to40
40.0,9375.0,9,30to40
34.0,9095.0,10,30to40
40.0,9301.0,11,30to40
40.0,9274.0,12,30to40
40.0,9228.0,13,30to40
40.0,9326.0,14,30to40
40.0,9316.0,15,30to40
33.0,9148.0,16,30to40
40.0,9258.0,17,30to40
33.0,9259.0,18,30to40
40.0,9263.0,19,30to40
40.0,9381.0,20,30to40
39.0,9464.0,21,30to40
40.0,9307.0,22,30to40
40.0,9372.0,23,30to40
40.0,9305.0,24,30to40
40.0,9336.0,25,30to40
40.0,9326.0,26,30to40
40.0,9328.0,27,30to40
39.0,9322.0,28,30to40
39.0,9246.0,29,30to40
20.0,8538.0,0,10to20
20.0,8602.0,1,10to20
19.0,8440.0,2,10to20
20.0,8542.0,3,10to20
20.0,8549.0,4,10to20
20.0,8471.0,5,10to20
19.0,8348.0,6,10to20
20.0,8403.0,7,10to20
20.0,8446.0,8,10to20
20.0,8476.0,9,10to20
20.0,8557.0,10,10to20
20.0,8570.0,11,10to20
20.0,8369.0,12,10to20
12.0,8065.0,13,10to20
20.0,8446.0,14,10to20
20.0,8447.0,15,10to20
14.0,8191.0,16,10to20
20.0,8379.0,17,10to20
20.0,8576.0,18,10to20
20.0,8473.0,19,10to20
20.0,8535.0,20,10to20
13.0,8192.0,21,10to20
20.0,8453.0,22,10to20
20.0,8557.0,23,10to20
20.0,8441.0,24,10to20
20.0,8492.0,25,10to20
20.0,8269.0,26,10to20
20.0,8560.0,27,10to20
20.0,8426.0,28,10to20
17.0,8300.0,29,10to20
30.0,9049.0,0,20to30
30.0,9009.0,1,20to30
30.0,9010.0,2,20to30
29.0,8877.0,3,20to30
21.0,8535.0,4,20to30
30.0,8949.0,5,20to30
30.0,8894.0,6,20to30
30.0,9027.0,7,20to30
30.0,8940.0,8,20to30
30.0,8845.0,9,20to30
30.0,8949.0,10,20to30
30.0,8817.0,11,20to30
30.0,8870.0,12,20to30
30.0,8943.0,13,20to30
30.0,8942.0,14,20to30
30.0,8901.0,15,20to30
30.0,8923.0,16,20to30
30.0,8992.0,17,20to30
30.0,8846.0,18,20to30
30.0,8954.0,19,20to30
30.0,8856.0,20,20to30
19.0,8492.0,21,20to30
30.0,8929.0,22,20to30
30.0,9022.0,23,20to30
30.0,8995.0,24,20to30
30.0,8942.0,25,20to30
30.0,8950.0,26,20to30
30.0,8987.0,27,20to30
24.0,8565.0,28,20to30
30.0,8912.0,29,20to30
39.0,9344.0,0,30to40
31.0,8990.0,1,30to40
40.0,9291.0,2,30to40
40.0,9380.0,3,30to40
40.0,9263.0,4,30to40
40.0,9281.0,5,30to40
39.0,9271.0,6,30to40
39.0,9327.0,7,30to40
33.0,9087.0,8,30to40
40.0,9375.0,9,30to40
34.0,9095.0,10,30to40
40.0,9301.0,11,30to40
40.0,9274.0,12,30to40
40.0,9228.0,13,30to40
40.0,9326.0,14,30to40
40.0,9316.0,15,30to40
33.0,9148.0,16,30to40
40.0,9258.0,17,30to40
33.0,9259.0,18,30to40
40.0,9263.0,19,30to40
40.0,9381.0,20,30to40
39.0,9464.0,21,30to40
40.0,9307.0,22,30to40
40.0,9372.0,23,30to40
40.0,9305.0,24,30to40
40.0,9336.0,25,30to40
40.0,9326.0,26,30to40
40.0,9328.0,27,30to40
39.0,9322.0,28,30to40
39.0,9246.0,29,30to40
20.0,8538.0,0,10to20
20.0,8602.0,1,10to20
19.0,8440.0,2,10to20
20.0,8542.0,3,10to20
20.0,8549.0,4,10to20
20.0,8471.0,5,10to20
19.0,8348.0,6,10to20
20.0,8403.0,7,10to20
20.0,8446.0,8,10to20
20.0,8476.0,9,10to20
20.0,8557.0,10,10to20
20.0,8570.0,11,10to20
20.0,8369.0,12,10to20
12.0,8065.0,13,10to20
20.0,8446.0,14,10to20
20.0,8447.0,15,10to20
14.0,8191.0,16,10to20
20.0,8379.0,17,10to20
20.0,8576.0,18,10to20
20.0,8473.0,19,10to20
20.0,8535.0,20,10to20
13.0,8192.0,21,10to20
20.0,8453.0,22,10to20
20.0,8557.0,23,10to20
20.0,8441.0,24,10to20
20.0,8492.0,25,10to20
20.0,8269.0,26,10to20
20.0,8560.0,27,10to20
20.0,8426.0,28,10to20
17.0,8300.0,29,10to20
30.0,9049.0,0,20to30
30.0,9009.0,1,20to30
30.0,9010.0,2,20to30
29.0,8877.0,3,20to30
21.0,8535.0,4,20to30
30.0,8949.0,5,20to30
30.0,8894.0,6,20to30
30.0,9027.0,7,20to30
30.0,8940.0,8,20to30
30.0,8845.0,9,20to30
30.0,8949.0,10,20to30
30.0,8817.0,11,20to30
30.0,8870.0,12,20to30
30.0,8943.0,13,20to30
30.0,8942.0,14,20to30
30.0,8901.0,15,20to30
30.0,8923.0,16,20to30
30.0,8992.0,17,20to30
30.0,8846.0,18,20to30
30.0,8954.0,19,20to30
30.0,8856.0,20,20to30
19.0,8492.0,21,20to30
30.0,8929.0,22,20to30
30.0,9022.0,23,20to30
30.0,8995.0,24,20to30
30.0,8942.0,25,20to30
30.0,8950.0,26,20to30
30.0,8987.0,27,20to30
24.0,8565.0,28,20to30
30.0,8912.0,29,20to30
39.0,9344.0,0,30to40
31.0,8990.0,1,30to40
40.0,9291.0,2,30to40
40.0,9380.0,3,30to40
40.0,9263.0,4,30to40
40.0,9281.0,5,30to40
39.0,9271.0,6,30to40
39.0,9327.0,7,30to40
33.0,9087.0,8,30to40
40.0,9375.0,9,30to40
34.0,9095.0,10,30to40
40.0,9301.0,11,30to40
40.0,9274.0,12,30to40
40.0,9228.0,13,30to40
40.0,9326.0,14,30to40
40.0,9316.0,15,30to40
33.0,9148.0,16,30to40
40.0,9258.0,17,30to40
33.0,9259.0,18,30to40
40.0,9263.0,19,30to40
40.0,9381.0,20,30to40
39.0,9464.0,21,30to40
40.0,9307.0,22,30to40
40.0,9372.0,23,30to40
40.0,9305.0,24,30to40
40.0,9336.0,25,30to40
40.0,9326.0,26,30to40
40.0,9328.0,27,30to40
39.0,9322.0,28,30to40
39.0,9246.0,29,30to40
20.0,8538.0,0,10to20
20.0,8602.0,1,10to20
19.0,8440.0,2,10to20
20.0,8542.0,3,10to20
20.0,8549.0,4,10to20
20.0,8471.0,5,10to20
19.0,8348.0,6,10to20
20.0,8403.0,7,10to20
20.0,8446.0,8,10to20
20.0,8476.0,9,10to20
20.0,8557.0,10,10to20
20.0,8570.0,11,10to20
20.0,8369.0,12,10to20
12.0,8065.0,13,10to20
20.0,8446.0,14,10to20
20.0,8447.0,15,10to20
14.0,8191.0,16,10to20
20.0,8379.0,17,10to20
20.0,8576.0,18,10to20
20.0,8473.0,19,10to20
20.0,8535.0,20,10to20
13.0,8192.0,21,10to20
20.0,8453.0,22,10to20
20.0,8557.0,23,10to20
20.0,8441.0,24,10to20
20.0,8492.0,25,10to20
20.0,8269.0,26,10to20
20.0,8560.0,27,10to20
20.0,8426.0,28,10to20
17.0,8300.0,29,10to20
30.0,9049.0,0,20to30
30.0,9009.0,1,20to30
30.0,9010.0,2,20to30
29.0,8877.0,3,20to30
21.0,8535.0,4,20to30
30.0,8949.0,5,20to30
30.0,8894.0,6,20to30
30.0,9027.0,7,20to30
30.0,8940.0,8,20to30
30.0,8845.0,9,20to30
30.0,8949.0,10,20to30
30.0,8817.0,11,20to30
30.0,8870.0,12,20to30
30.0,8943.0,13,20to30
30.0,8942.0,14,20to30
30.0,8901.0,15,20to30
30.0,8923.0,16,20to30
30.0,8992.0,17,20to30
30.0,8846.0,18,20to30
30.0,8954.0,19,20to30
30.0,8856.0,20,20to30
19.0,8492.0,21,20to30
30.0,8929.0,22,20to30
30.0,9022.0,23,20to30
30.0,8995.0,24,20to30
30.0,8942.0,25,20to30
30.0,8950.0,26,20to30
30.0,8987.0,27,20to30
24.0,8565.0,28,20to30
30.0,8912.0,29,20to30
39.0,9344.0,0,30to40
31.0,8990.0,1,30to40
40.0,9291.0,2,30to40
