V1,V2,set,DM_range
30.0,7253.0,1,20to30
28.0,7139.0,2,20to30
30.0,6956.0,3,20to30
30.0,7269.0,4,20to30
18.0,6823.0,5,20to30
30.0,7272.0,6,20to30
30.0,7280.0,7,20to30
30.0,7277.0,8,20to30
29.0,7174.0,9,20to30
30.0,7182.0,10,20to30
28.0,7184.0,11,20to30
30.0,7195.0,12,20to30
18.0,6808.0,13,20to30
30.0,7141.0,14,20to30
30.0,7233.0,15,20to30
30.0,7095.0,16,20to30
29.0,7154.0,17,20to30
30.0,7147.0,18,20to30
30.0,7177.0,19,20to30
30.0,7254.0,20,20to30
30.0,7247.0,21,20to30
29.0,7188.0,22,20to30
30.0,7131.0,23,20to30
29.0,7247.0,24,20to30
30.0,7192.0,25,20to30
30.0,7214.0,26,20to30
24.0,6946.0,27,20to30
25.0,7059.0,28,20to30
30.0,7184.0,29,20to30
40.0,7463.0,0,30to40
40.0,7493.0,1,30to40
28.0,7207.0,2,30to40
40.0,7555.0,3,30to40
39.0,7510.0,4,30to40
40.0,7540.0,5,30to40
40.0,7603.0,6,30to40
22.0,6988.0,7,30to40
33.0,7379.0,8,30to40
40.0,7534.0,9,30to40
35.0,7395.0,10,30to40
40.0,7482.0,11,30to40
29.0,7229.0,12,30to40
40.0,7505.0,13,30to40
39.0,7363.0,14,30to40
40.0,7503.0,15,30to40
40.0,7522.0,16,30to40
40.0,7547.0,17,30to40
40.0,7512.0,18,30to40
40.0,7486.0,19,30to40
40.0,7508.0,20,30to40
40.0,7503.0,21,30to40
33.0,7229.0,22,30to40
40.0,7465.0,23,30to40
39.0,7441.0,24,30to40
40.0,7534.0,25,30to40
40.0,7477.0,26,30to40
40.0,7452.0,27,30to40
39.0,7457.0,28,30to40
40.0,7514.0,29,30to40
20.0,6891.0,0,10to20
20.0,6783.0,1,10to20
11.0,6413.0,2,10to20
20.0,6929.0,3,10to20
20.0,6877.0,4,10to20
20.0,6779.0,5,10to20
20.0,6850.0,6,10to20
20.0,6905.0,7,10to20
19.0,6887.0,8,10to20
20.0,6814.0,9,10to20
19.0,6853.0,10,10to20
19.0,6822.0,11,10to20
20.0,6839.0,12,10to20
19.0,6855.0,13,10to20
20.0,6880.0,14,10to20
20.0,6877.0,15,10to20
20.0,6902.0,16,10to20
20.0,6866.0,17,10to20
20.0,6772.0,18,10to20
20.0,6920.0,19,10to20
19.0,6874.0,20,10to20
19.0,6805.0,21,10to20
20.0,6861.0,22,10to20
20.0,6762.0,23,10to20
20.0,6888.0,24,10to20
20.0,6716.0,25,10to20
20.0,6854.0,26,10to20
20.0,6822.0,27,10to20
20.0,6884.0,28,10to20
20.0,6851.0,29,10to20
30.0,7172.0,0,20to30
30.0,7253.0,1,20to30
28.0,7139.0,2,20to30
30.0,6956.0,3,20to30
30.0,7269.0,4,20to30
18.0,6823.0,5,20to30
30.0,7272.0,6,20to30
30.0,7280.0,7,20to30
30.0,7277.0,8,20to30
29.0,7174.0,9,20to30
30.0,7182.0,10,20to30
28.0,7184.0,11,20to30
30.0,7195.0,12,20to30
18.0,6808.0,13,20to30
30.0,7141.0,14,20to30
30.0,7233.0,15,20to30
30.0,7095.0,16,20to30
29.0,7154.0,17,20to30
30.0,7147.0,18,20to30
30.0,7177.0,19,20to30
30.0,7254.0,20,20to30
30.0,7247.0,21,20to30
29.0,7188.0,22,20to30
30.0,7131.0,23,20to30
29.0,7247.0,24,20to30
30.0,7192.0,25,20to30
30.0,7214.0,26,20to30
24.0,6946.0,27,20to30
25.0,7059.0,28,20to30
30.0,7184.0,29,20to30
40.0,7463.0,0,30to40
40.0,7493.0,1,30to40
28.0,7207.0,2,30to40
40.0,7555.0,3,30to40
39.0,7510.0,4,30to40
40.0,7540.0,5,30to40
40.0,7603.0,6,30to40
22.0,6988.0,7,30to40
33.0,7379.0,8,30to40
40.0,7534.0,9,30to40
35.0,7395.0,10,30to40
40.0,7482.0,11,30to40
29.0,7229.0,12,30to40
40.0,7505.0,13,30to40
39.0,7363.0,14,30to40
40.0,7503.0,15,30to40
40.0,7522.0,16,30to40
40.0,7547.0,17,30to40
40.0,7512.0,18,30to40
40.0,7486.0,19,30to40
40.0,7508.0,20,30to40
40.0,7503.0,21,30to40
33.0,7229.0,22,30to40
40.0,7465.0,23,30to40
39.0,7441.0,24,30to40
40.0,7534.0,25,30to40
40.0,7477.0,26,30to40
40.0,7452.0,27,30to40
39.0,7457.0,28,30to40
40.0,7514.0,29,30to40
20.0,6891.0,0,10to20
20.0,6783.0,1,10to20
11.0,6413.0,2,10to20
20.0,6929.0,3,10to20
20.0,6877.0,4,10to20
20.0,6779.0,5,10to20
20.0,6850.0,6,10to20
20.0,6905.0,7,10to20
19.0,6887.0,8,10to20
20.0,6814.0,9,10to20
19.0,6853.0,10,10to20
19.0,6822.0,11,10to20
20.0,6839.0,12,10to20
19.0,6855.0,13,10to20
20.0,6880.0,14,10to20
20.0,6877.0,15,10to20
20.0,6902.0,16,10to20
20.0,6866.0,17,10to20
20.0,6772.0,18,10to20
20.0,6920.0,19,10to20
19.0,6874.0,20,10to20
19.0,6805.0,21,10to20
20.0,6861.0,22,10to20
20.0,6762.0,23,10to20
20.0,6888.0,24,10to20
20.0,6716.0,25,10to20
20.0,6854.0,26,10to20
20.0,6822.0,27,10to20
20.0,6884.0,28,10to20
20.0,6851.0,29,10to20
30.0,7172.0,0,20to30
30.0,7253.0,1,20to30
28.0,7139.0,2,20to30
30.0,6956.0,3,20to30
30.0,7269.0,4,20to30
18.0,6823.0,5,20to30
30.0,7272.0,6,20to30
30.0,7280.0,7,20to30
30.0,7277.0,8,20to30
29.0,7174.0,9,20to30
30.0,7182.0,10,20to30
28.0,7184.0,11,20to30
30.0,7195.0,12,20to30
18.0,6808.0,13,20to30
30.0,7141.0,14,20to30
30.0,7233.0,15,20to30
30.0,7095.0,16,20to30
29.0,7154.0,17,20to30
30.0,7147.0,18,20to30
30.0,7177.0,19,20to30
30.0,7254.0,20,20to30
30.0,7247.0,21,20to30
29.0,7188.0,22,20to30
30.0,7131.0,23,20to30
29.0,7247.0,24,20to30
30.0,7192.0,25,20to30
30.0,7214.0,26,20to30
24.0,6946.0,27,20to30
25.0,7059.0,28,20to30
30.0,7184.0,29,20to30
40.0,7463.0,0,30to40
40.0,7493.0,1,30to40
28.0,7207.0,2,30to40
40.0,7555.0,3,30to40
39.0,7510.0,4,30to40
40.0,7540.0,5,30to40
40.0,7603.0,6,30to40
22.0,6988.0,7,30to40
33.0,7379.0,8,30to40
40.0,7534.0,9,30to40
35.0,7395.0,10,30to40
40.0,7482.0,11,30to40
29.0,7229.0,12,30to40
40.0,7505.0,13,30to40
39.0,7363.0,14,30to40
40.0,7503.0,15,30to40
40.0,7522.0,16,30to40
40.0,7547.0,17,30to40
40.0,7512.0,18,30to40
40.0,7486.0,19,30to40
40.0,7508.0,20,30to40
40.0,7503.0,21,30to40
33.0,7229.0,22,30to40
40.0,7465.0,23,30to40
39.0,7441.0,24,30to40
40.0,7534.0,25,30to40
40.0,7477.0,26,30to40
40.0,7452.0,27,30to40
39.0,7457.0,28,30to40
40.0,7514.0,29,30to40
20.0,6891.0,0,10to20
20.0,6783.0,1,10to20
11.0,6413.0,2,10to20
20.0,6929.0,3,10to20
20.0,6877.0,4,10to20
20.0,6779.0,5,10to20
20.0,6850.0,6,10to20
20.0,6905.0,7,10to20
19.0,6887.0,8,10to20
20.0,6814.0,9,10to20
19.0,6853.0,10,10to20
19.0,6822.0,11,10to20
20.0,6839.0,12,10to20
19.0,6855.0,13,10to20
20.0,6880.0,14,10to20
20.0,6877.0,15,10to20
20.0,6902.0,16,10to20
20.0,6866.0,17,10to20
20.0,6772.0,18,10to20
20.0,6920.0,19,10to20
19.0,6874.0,20,10to20
19.0,6805.0,21,10to20
20.0,6861.0,22,10to20
20.0,6762.0,23,10to20
20.0,6888.0,24,10to20
20.0,6716.0,25,10to20
20.0,6854.0,26,10to20
20.0,6822.0,27,10to20
20.0,6884.0,28,10to20
20.0,6851.0,29,10to20
30.0,7172.0,0,20to30
30.0,7253.0,1,20to30
28.0,7139.0,2,20to30
30.0,6956.0,3,20to30
30.0,7269.0,4,20to30
18.0,6823.0,5,20to30
30.0,7272.0,6,20to30
30.0,7280.0,7,20to30
30.0,7277.0,8,20to30
29.0,7174.0,9,20to30
30.0,7182.0,10,20to30
28.0,7184.0,11,20to30
30.0,7195.0,12,20to30
18.0,6808.0,13,20to30
30.0,7141.0,14,20to30
30.0,7233.0,15,20to30
30.0,7095.0,16,20to30
29.0,7154.0,17,20to30
30.0,7147.0,18,20to30
30.0,7177.0,19,20to30
30.0,7254.0,20,20to30
30.0,7247.0,21,20to30
29.0,7188.0,22,20to30
30.0,7131.0,23,20to30
29.0,7247.0,24,20to30
30.0,7192.0,25,20to30
30.0,7214.0,26,20to30
24.0,6946.0,27,20to30
25.0,7059.0,28,20to30
30.0,7184.0,29,20to30
40.0,7463.0,0,30to40
40.0,7493.0,1,30to40
28.0,7207.0,2,30to40
40.0,7555.0,3,30to40
39.0,7510.0,4,30to40
40.0,7540.0,5,30to40
40.0,7603.0,6,30to40
22.0,6988.0,7,30to40
33.0,7379.0,8,30to40
40.0,7534.0,9,30to40
35.0,7395.0,10,30to40
40.0,7482.0,11,30to40
29.0,7229.0,12,30to40
40.0,7505.0,13,30to40
39.0,7363.0,14,30to40
40.0,7503.0,15,30to40
40.0,7522.0,16,30to40
40.0,7547.0,17,30to40
40.0,7512.0,18,30to40
40.0,7486.0,19,30to40
40.0,7508.0,20,30to40
40.0,7503.0,21,30to40
33.0,7229.0,22,30to40
40.0,7465.0,23,30to40
39.0,7441.0,24,30to40
40.0,7534.0,25,30to40
40.0,7477.0,26,30to40
40.0,7452.0,27,30to40
39.0,7457.0,28,30to40
40.0,7514.0,29,30to40
20.0,6891.0,0,10to20
20.0,6783.0,1,10to20
11.0,6413.0,2,10to20
20.0,6929.0,3,10to20
20.0,6877.0,4,10to20
20.0,6779.0,5,10to20
20.0,6850.0,6,10to20
20.0,6905.0,7,10to20
19.0,6887.0,8,10to20
20.0,6814.0,9,10to20
19.0,6853.0,10,10to20
19.0,6822.0,11,10to20
20.0,6839.0,12,10to20
19.0,6855.0,13,10to20
20.0,6880.0,14,10to20
20.0,6877.0,15,10to20
20.0,6902.0,16,10to20
20.0,6866.0,17,10to20
20.0,6772.0,18,10to20
20.0,6920.0,19,10to20
19.0,6874.0,20,10to20
19.0,6805.0,21,10to20
20.0,6861.0,22,10to20
20.0,6762.0,23,10to20
20.0,6888.0,24,10to20
20.0,6716.0,25,10to20
20.0,6854.0,26,10to20
20.0,6822.0,27,10to20
20.0,6884.0,28,10to20
20.0,6851.0,29,10to20
30.0,7172.0,0,20to30
30.0,7253.0,1,20to30
28.0,7139.0,2,20to30
30.0,6956.0,3,20to30
30.0,7269.0,4,20to30
18.0,6823.0,5,20to30
30.0,7272.0,6,20to30
30.0,7280.0,7,20to30
30.0,7277.0,8,20to30
29.0,7174.0,9,20to30
30.0,7182.0,10,20to30
28.0,7184.0,11,20to30
30.0,7195.0,12,20to30
18.0,6808.0,13,20to30
30.0,7141.0,14,20to30
30.0,7233.0,15,20to30
30.0,7095.0,16,20to30
29.0,7154.0,17,20to30
30.0,7147.0,18,20to30
30.0,7177.0,19,20to30
30.0,7254.0,20,20to30
30.0,7247.0,21,20to30
29.0,7188.0,22,20to30
30.0,7131.0,23,20to30
29.0,7247.0,24,20to30
30.0,7192.0,25,20to30
30.0,7214.0,26,20to30
24.0,6946.0,27,20to30
25.0,7059.0,28,20to30
30.0,7184.0,29,20to30
40.0,7463.0,0,30to40
40.0,7493.0,1,30to40
28.0,7207.0,2,30to40
40.0,7555.0,3,30to40
39.0,7510.0,4,30to40
40.0,7540.0,5,30to40
40.0,7603.0,6,30to40
22.0,6988.0,7,30to40
33.0,7379.0,8,30to40
40.0,7534.0,9,30to40
35.0,7395.0,10,30to40
40.0,7482.0,11,30to40
29.0,7229.0,12,30to40
40.0,7505.0,13,30to40
39.0,7363.0,14,30to40
40.0,7503.0,15,30to40
40.0,7522.0,16,30to40
40.0,7547.0,17,30to40
40.0,7512.0,18,30to40
40.0,7486.0,19,30to40
40.0,7508.0,20,30to40
40.0,7503.0,21,30to40
33.0,7229.0,22,30to40
40.0,7465.0,23,30to40
39.0,7441.0,24,30to40
40.0,7534.0,25,30to40
40.0,7477.0,26,30to40
40.0,7452.0,27,30to40
39.0,7457.0,28,30to40
40.0,7514.0,29,30to40
20.0,6891.0,0,10to20
20.0,6783.0,1,10to20
11.0,6413.0,2,10to20
20.0,6929.0,3,10to20
20.0,6877.0,4,10to20
20.0,6779.0,5,10to20
20.0,6850.0,6,10to20
20.0,6905.0,7,10to20
19.0,6887.0,8,10to20
20.0,6814.0,9,10to20
19.0,6853.0,10,10to20
19.0,6822.0,11,10to20
20.0,6839.0,12,10to20
19.0,6855.0,13,10to20
20.0,6880.0,14,10to20
20.0,6877.0,15,10to20
20.0,6902.0,16,10to20
20.0,6866.0,17,10to20
20.0,6772.0,18,10to20
20.0,6920.0,19,10to20
19.0,6874.0,20,10to20
19.0,6805.0,21,10to20
20.0,6861.0,22,10to20
20.0,6762.0,23,10to20
20.0,6888.0,24,10to20
20.0,6716.0,25,10to20
20.0,6854.0,26,10to20
20.0,6822.0,27,10to20
20.0,6884.0,28,10to20
20.0,6851.0,29,10to20
30.0,7172.0,0,20to30
30.0,7253.0,1,20to30
28.0,7139.0,2,20to30
30.0,6956.0,3,20to30
30.0,7269.0,4,20to30
18.0,6823.0,5,20to30
30.0,7272.0,6,20to30
30.0,7280.0,7,20to30
30.0,7277.0,8,20to30
29.0,7174.0,9,20to30
30.0,7182.0,10,20to30
28.0,7184.0,11,20to30
30.0,7195.0,12,20to30
18.0,6808.0,13,20to30
30.0,7141.0,14,20to30
30.0,7233.0,15,20to30
30.0,7095.0,16,20to30
29.0,7154.0,17,20to30
30.0,7147.0,18,20to30
30.0,7177.0,19,20to30
30.0,7254.0,20,20to30
30.0,7247.0,21,20to30
29.0,7188.0,22,20to30
30.0,7131.0,23,20to30
29.0,7247.0,24,20to30
30.0,7192.0,25,20to30
30.0,7214.0,26,20to30
24.0,6946.0,27,20to30
25.0,7059.0,28,20to30
30.0,7184.0,29,20to30
40.0,7463.0,0,30to40
40.0,7493.0,1,30to40
28.0,7207.0,2,30to40
40.0,7555.0,3,30to40
39.0,7510.0,4,30to40
40.0,7540.0,5,30to40
40.0,7603.0,6,30to40
22.0,6988.0,7,30to40
33.0,7379.0,8,30to40
40.0,7534.0,9,30to40
35.0,7395.0,10,30to40
40.0,7482.0,11,30to40
29.0,7229.0,12,30to40
40.0,7505.0,13,30to40
39.0,7363.0,14,30to40
40.0,7503.0,15,30to40
40.0,7522.0,16,30to40
40.0,7547.0,17,30to40
40.0,7512.0,18,30to40
40.0,7486.0,19,30to40
40.0,7508.0,20,30to40
40.0,7503.0,21,30to40
33.0,7229.0,22,30to40
40.0,7465.0,23,30to40
39.0,7441.0,24,30to40
40.0,7534.0,25,30to40
40.0,7477.0,26,30to40
40.0,7452.0,27,30to40
39.0,7457.0,28,30to40
40.0,7514.0,29,30to40
20.0,6891.0,0,10to20
20.0,6783.0,1,10to20
11.0,6413.0,2,10to20
20.0,6929.0,3,10to20
20.0,6877.0,4,10to20
20.0,6779.0,5,10to20
20.0,6850.0,6,10to20
20.0,6905.0,7,10to20
19.0,6887.0,8,10to20
20.0,6814.0,9,10to20
19.0,6853.0,10,10to20
19.0,6822.0,11,10to20
20.0,6839.0,12,10to20
19.0,6855.0,13,10to20
20.0,6880.0,14,10to20
20.0,6877.0,15,10to20
20.0,6902.0,16,10to20
20.0,6866.0,17,10to20
20.0,6772.0,18,10to20
20.0,6920.0,19,10to20
19.0,6874.0,20,10to20
19.0,6805.0,21,10to20
20.0,6861.0,22,10to20
20.0,6762.0,23,10to20
20.0,6888.0,24,10to20
20.0,6716.0,25,10to20
20.0,6854.0,26,10to20
20.0,6822.0,27,10to20
20.0,6884.0,28,10to20
20.0,6851.0,29,10to20
30.0,7172.0,0,20to30
30.0,7253.0,1,20to30
28.0,7139.0,2,20to30
30.0,6956.0,3,20to30
30.0,7269.0,4,20to30
18.0,6823.0,5,20to30
30.0,7272.0,6,20to30
30.0,7280.0,7,20to30
30.0,7277.0,8,20to30
29.0,7174.0,9,20to30
30.0,7182.0,10,20to30
28.0,7184.0,11,20to30
30.0,7195.0,12,20to30
18.0,6808.0,13,20to30
30.0,7141.0,14,20to30
30.0,7233.0,15,20to30
30.0,7095.0,16,20to30
29.0,7154.0,17,20to30
30.0,7147.0,18,20to30
30.0,7177.0,19,20to30
30.0,7254.0,20,20to30
30.0,7247.0,21,20to30
29.0,7188.0,22,20to30
30.0,7131.0,23,20to30
29.0,7247.0,24,20to30
30.0,7192.0,25,20to30
30.0,7214.0,26,20to30
24.0,6946.0,27,20to30
25.0,7059.0,28,20to30
30.0,7184.0,29,20to30
40.0,7463.0,0,30to40
40.0,7493.0,1,30to40
28.0,7207.0,2,30to40
40.0,7555.0,3,30to40
39.0,7510.0,4,30to40
40.0,7540.0,5,30to40
40.0,7603.0,6,30to40
22.0,6988.0,7,30to40
33.0,7379.0,8,30to40
40.0,7534.0,9,30to40
35.0,7395.0,10,30to40
40.0,7482.0,11,30to40
29.0,7229.0,12,30to40
40.0,7505.0,13,30to40
39.0,7363.0,14,30to40
40.0,7503.0,15,30to40
40.0,7522.0,16,30to40
40.0,7547.0,17,30to40
40.0,7512.0,18,30to40
40.0,7486.0,19,30to40
40.0,7508.0,20,30to40
40.0,7503.0,21,30to40
33.0,7229.0,22,30to40
40.0,7465.0,23,30to40
39.0,7441.0,24,30to40
40.0,7534.0,25,30to40
40.0,7477.0,26,30to40
40.0,7452.0,27,30to40
39.0,7457.0,28,30to40
40.0,7514.0,29,30to40
20.0,6891.0,0,10to20
20.0,6783.0,1,10to20
11.0,6413.0,2,10to20
20.0,6929.0,3,10to20
20.0,6877.0,4,10to20
20.0,6779.0,5,10to20
20.0,6850.0,6,10to20
20.0,6905.0,7,10to20
19.0,6887.0,8,10to20
20.0,6814.0,9,10to20
19.0,6853.0,10,10to20
19.0,6822.0,11,10to20
20.0,6839.0,12,10to20
19.0,6855.0,13,10to20
20.0,6880.0,14,10to20
20.0,6877.0,15,10to20
20.0,6902.0,16,10to20
20.0,6866.0,17,10to20
20.0,6772.0,18,10to20
20.0,6920.0,19,10to20
19.0,6874.0,20,10to20
19.0,6805.0,21,10to20
20.0,6861.0,22,10to20
20.0,6762.0,23,10to20
20.0,6888.0,24,10to20
20.0,6716.0,25,10to20
20.0,6854.0,26,10to20
20.0,6822.0,27,10to20
20.0,6884.0,28,10to20
20.0,6851.0,29,10to20
30.0,7172.0,0,20to30
30.0,7253.0,1,20to30
28.0,7139.0,2,20to30
30.0,6956.0,3,20to30
30.0,7269.0,4,20to30
18.0,6823.0,5,20to30
30.0,7272.0,6,20to30
30.0,7280.0,7,20to30
30.0,7277.0,8,20to30
29.0,7174.0,9,20to30
30.0,7182.0,10,20to30
28.0,7184.0,11,20to30
30.0,7195.0,12,20to30
18.0,6808.0,13,20to30
30.0,7141.0,14,20to30
30.0,7233.0,15,20to30
30.0,7095.0,16,20to30
29.0,7154.0,17,20to30
30.0,7147.0,18,20to30
30.0,7177.0,19,20to30
30.0,7254.0,20,20to30
30.0,7247.0,21,20to30
29.0,7188.0,22,20to30
30.0,7131.0,23,20to30
29.0,7247.0,24,20to30
30.0,7192.0,25,20to30
30.0,7214.0,26,20to30
24.0,6946.0,27,20to30
25.0,7059.0,28,20to30
30.0,7184.0,29,20to30
40.0,7463.0,0,30to40
40.0,7493.0,1,30to40
28.0,7207.0,2,30to40
40.0,7555.0,3,30to40
39.0,7510.0,4,30to40
40.0,7540.0,5,30to40
40.0,7603.0,6,30to40
22.0,6988.0,7,30to40
33.0,7379.0,8,30to40
40.0,7534.0,9,30to40
35.0,7395.0,10,30to40
40.0,7482.0,11,30to40
29.0,7229.0,12,30to40
40.0,7505.0,13,30to40
39.0,7363.0,14,30to40
40.0,7503.0,15,30to40
40.0,7522.0,16,30to40
40.0,7547.0,17,30to40
40.0,7512.0,18,30to40
40.0,7486.0,19,30to40
40.0,7508.0,20,30to40
40.0,7503.0,21,30to40
33.0,7229.0,22,30to40
40.0,7465.0,23,30to40
39.0,7441.0,24,30to40
40.0,7534.0,25,30to40
40.0,7477.0,26,30to40
40.0,7452.0,27,30to40
39.0,7457.0,28,30to40
40.0,7514.0,29,30to40
20.0,6891.0,0,10to20
20.0,6783.0,1,10to20
11.0,6413.0,2,10to20
20.0,6929.0,3,10to20
20.0,6877.0,4,10to20
20.0,6779.0,5,10to20
20.0,6850.0,6,10to20
20.0,6905.0,7,10to20
19.0,6887.0,8,10to20
20.0,6814.0,9,10to20
19.0,6853.0,10,10to20
19.0,6822.0,11,10to20
20.0,6839.0,12,10to20
19.0,6855.0,13,10to20
20.0,6880.0,14,10to20
20.0,6877.0,15,10to20
20.0,6902.0,16,10to20
20.0,6866.0,17,10to20
20.0,6772.0,18,10to20
20.0,6920.0,19,10to20
19.0,6874.0,20,10to20
19.0,6805.0,21,10to20
20.0,6861.0,22,10to20
20.0,6762.0,23,10to20
20.0,6888.0,24,10to20
20.0,6716.0,25,10to20
20.0,6854.0,26,10to20
20.0,6822.0,27,10to20
20.0,6884.0,28,10to20
20.0,6851.0,29,10to20
30.0,7172.0,0,20to30
30.0,7253.0,1,20to30
28.0,7139.0,2,20to30
30.0,6956.0,3,20to30
30.0,7269.0,4,20to30
18.0,6823.0,5,20to30
30.0,7272.0,6,20to30
30.0,7280.0,7,20to30
30.0,7277.0,8,20to30
29.0,7174.0,9,20to30
30.0,7182.0,10,20to30
28.0,7184.0,11,20to30
30.0,7195.0,12,20to30
18.0,6808.0,13,20to30
30.0,7141.0,14,20to30
30.0,7233.0,15,20to30
30.0,7095.0,16,20to30
29.0,7154.0,17,20to30
30.0,7147.0,18,20to30
30.0,7177.0,19,20to30
30.0,7254.0,20,20to30
30.0,7247.0,21,20to30
29.0,7188.0,22,20to30
30.0,7131.0,23,20to30
29.0,7247.0,24,20to30
30.0,7192.0,25,20to30
30.0,7214.0,26,20to30
24.0,6946.0,27,20to30
25.0,7059.0,28,20to30
30.0,7184.0,29,20to30
40.0,7463.0,0,30to40
40.0,7493.0,1,30to40
28.0,7207.0,2,30to40
40.0,7555.0,3,30to40
39.0,7510.0,4,30to40
40.0,7540.0,5,30to40
40.0,7603.0,6,30to40
22.0,6988.0,7,30to40
33.0,7379.0,8,30to40
40.0,7534.0,9,30to40
35.0,7395.0,10,30to40
40.0,7482.0,11,30to40
29.0,7229.0,12,30to40
40.0,7505.0,13,30to40
39.0,7363.0,14,30to40
40.0,7503.0,15,30to40
40.0,7522.0,16,30to40
40.0,7547.0,17,30to40
40.0,7512.0,18,30to40
40.0,7486.0,19,30to40
40.0,7508.0,20,30to40
40.0,7503.0,21,30to40
33.0,7229.0,22,30to40
40.0,7465.0,23,30to40
39.0,7441.0,24,30to40
40.0,7534.0,25,30to40
40.0,7477.0,26,30to40
40.0,7452.0,27,30to40
39.0,7457.0,28,30to40
40.0,7514.0,29,30to40
20.0,6891.0,0,10to20
20.0,6783.0,1,10to20
11.0,6413.0,2,10to20
20.0,6929.0,3,10to20
20.0,6877.0,4,10to20
20.0,6779.0,5,10to20
20.0,6850.0,6,10to20
20.0,6905.0,7,10to20
19.0,6887.0,8,10to20
20.0,6814.0,9,10to20
19.0,6853.0,10,10to20
19.0,6822.0,11,10to20
20.0,6839.0,12,10to20
19.0,6855.0,13,10to20
20.0,6880.0,14,10to20
20.0,6877.0,15,10to20
20.0,6902.0,16,10to20
20.0,6866.0,17,10to20
20.0,6772.0,18,10to20
20.0,6920.0,19,10to20
19.0,6874.0,20,10to20
19.0,6805.0,21,10to20
20.0,6861.0,22,10to20
20.0,6762.0,23,10to20
20.0,6888.0,24,10to20
20.0,6716.0,25,10to20
20.0,6854.0,26,10to20
20.0,6822.0,27,10to20
20.0,6884.0,28,10to20
20.0,6851.0,29,10to20
30.0,7172.0,0,20to30
30.0,7253.0,1,20to30
28.0,7139.0,2,20to30
30.0,6956.0,3,20to30
30.0,7269.0,4,20to30
18.0,6823.0,5,20to30
30.0,7272.0,6,20to30
30.0,7280.0,7,20to30
30.0,7277.0,8,20to30
29.0,7174.0,9,20to30
30.0,7182.0,10,20to30
28.0,7184.0,11,20to30
30.0,7195.0,12,20to30
18.0,6808.0,13,20to30
30.0,7141.0,14,20to30
30.0,7233.0,15,20to30
30.0,7095.0,16,20to30
29.0,7154.0,17,20to30
30.0,7147.0,18,20to30
30.0,7177.0,19,20to30
30.0,7254.0,20,20to30
30.0,7247.0,21,20to30
29.0,7188.0,22,20to30
30.0,7131.0,23,20to30
29.0,7247.0,24,20to30
30.0,7192.0,25,20to30
30.0,7214.0,26,20to30
24.0,6946.0,27,20to30
25.0,7059.0,28,20to30
30.0,7184.0,29,20to30
40.0,7463.0,0,30to40
40.0,7493.0,1,30to40
28.0,7207.0,2,30to40
40.0,7555.0,3,30to40
39.0,7510.0,4,30to40
40.0,7540.0,5,30to40
40.0,7603.0,6,30to40
22.0,6988.0,7,30to40
33.0,7379.0,8,30to40
40.0,7534.0,9,30to40
35.0,7395.0,10,30to40
40.0,7482.0,11,30to40
29.0,7229.0,12,30to40
40.0,7505.0,13,30to40
39.0,7363.0,14,30to40
40.0,7503.0,15,30to40
40.0,7522.0,16,30to40
40.0,7547.0,17,30to40
40.0,7512.0,18,30to40
40.0,7486.0,19,30to40
40.0,7508.0,20,30to40
40.0,7503.0,21,30to40
33.0,7229.0,22,30to40
40.0,7465.0,23,30to40
39.0,7441.0,24,30to40
40.0,7534.0,25,30to40
40.0,7477.0,26,30to40
40.0,7452.0,27,30to40
39.0,7457.0,28,30to40
40.0,7514.0,29,30to40
20.0,6891.0,0,10to20
20.0,6783.0,1,10to20
11.0,6413.0,2,10to20
20.0,6929.0,3,10to20
20.0,6877.0,4,10to20
20.0,6779.0,5,10to20
20.0,6850.0,6,10to20
20.0,6905.0,7,10to20
19.0,6887.0,8,10to20
20.0,6814.0,9,10to20
19.0,6853.0,10,10to20
19.0,6822.0,11,10to20
20.0,6839.0,12,10to20
19.0,6855.0,13,10to20
20.0,6880.0,14,10to20
20.0,6877.0,15,10to20
20.0,6902.0,16,10to20
20.0,6866.0,17,10to20
20.0,6772.0,18,10to20
20.0,6920.0,19,10to20
19.0,6874.0,20,10to20
19.0,6805.0,21,10to20
20.0,6861.0,22,10to20
20.0,6762.0,23,10to20
20.0,6888.0,24,10to20
20.0,6716.0,25,10to20
20.0,6854.0,26,10to20
20.0,6822.0,27,10to20
20.0,6884.0,28,10to20
20.0,6851.0,29,10to20
30.0,7172.0,0,20to30
30.0,7253.0,1,20to30
28.0,7139.0,2,20to30
30.0,6956.0,3,20to30
30.0,7269.0,4,20to30
18.0,6823.0,5,20to30
30.0,7272.0,6,20to30
30.0,7280.0,7,20to30
30.0,7277.0,8,20to30
29.0,7174.0,9,20to30
30.0,7182.0,10,20to30
28.0,7184.0,11,20to30
30.0,7195.0,12,20to30
18.0,6808.0,13,20to30
30.0,7141.0,14,20to30
30.0,7233.0,15,20to30
30.0,7095.0,16,20to30
29.0,7154.0,17,20to30
30.0,7147.0,18,20to30
30.0,7177.0,19,20to30
30.0,7254.0,20,20to30
30.0,7247.0,21,20to30
29.0,7188.0,22,20to30
30.0,7131.0,23,20to30
29.0,7247.0,24,20to30
30.0,7192.0,25,20to30
30.0,7214.0,26,20to30
24.0,6946.0,27,20to30
25.0,7059.0,28,20to30
30.0,7184.0,29,20to30
40.0,7463.0,0,30to40
40.0,7493.0,1,30to40
28.0,7207.0,2,30to40
