V1,V2,set,DM_range
30.0,11111.0,1,20to30
29.0,11093.0,2,20to30
30.0,11107.0,3,20to30
30.0,11105.0,4,20to30
30.0,11078.0,5,20to30
30.0,11109.0,6,20to30
30.0,11085.0,7,20to30
30.0,11098.0,8,20to30
30.0,11103.0,9,20to30
30.0,11111.0,10,20to30
18.0,10944.0,11,20to30
30.0,11066.0,12,20to30
30.0,11104.0,13,20to30
30.0,11100.0,14,20to30
30.0,11109.0,15,20to30
30.0,11099.0,16,20to30
16.0,10835.0,17,20to30
29.0,11087.0,18,20to30
30.0,11089.0,19,20to30
30.0,11110.0,20,20to30
29.0,11056.0,21,20to30
30.0,11107.0,22,20to30
30.0,11109.0,23,20to30
27.0,11065.0,24,20to30
30.0,11111.0,25,20to30
30.0,11101.0,26,20to30
30.0,11109.0,27,20to30
29.0,11100.0,28,20to30
30.0,11103.0,29,20to30
38.0,11226.0,0,30to40
40.0,11228.0,1,30to40
40.0,11229.0,2,30to40
40.0,11131.0,3,30to40
39.0,11131.0,4,30to40
40.0,11227.0,5,30to40
40.0,11228.0,6,30to40
40.0,11229.0,7,30to40
28.0,11088.0,8,30to40
40.0,11229.0,9,30to40
40.0,11230.0,10,30to40
39.0,11228.0,11,30to40
40.0,11230.0,12,30to40
29.0,11097.0,13,30to40
40.0,11229.0,14,30to40
40.0,11225.0,15,30to40
40.0,11227.0,16,30to40
40.0,11228.0,17,30to40
40.0,11229.0,18,30to40
40.0,11230.0,19,30to40
40.0,11228.0,20,30to40
31.0,11121.0,21,30to40
38.0,11225.0,22,30to40
40.0,11228.0,23,30to40
40.0,11133.0,24,30to40
40.0,11229.0,25,30to40
40.0,11229.0,26,30to40
37.0,11223.0,27,30to40
40.0,11229.0,28,30to40
40.0,11229.0,29,30to40
14.0,10829.0,0,10to20
19.0,10961.0,1,10to20
12.0,10759.0,2,10to20
20.0,10952.0,3,10to20
20.0,10949.0,4,10to20
20.0,10947.0,5,10to20
20.0,10958.0,6,10to20
20.0,10955.0,7,10to20
20.0,10915.0,8,10to20
19.0,10923.0,9,10to20
20.0,10945.0,10,10to20
20.0,10960.0,11,10to20
20.0,10961.0,12,10to20
19.0,10955.0,13,10to20
20.0,10957.0,14,10to20
20.0,10954.0,15,10to20
18.0,10939.0,16,10to20
20.0,10954.0,17,10to20
19.0,10933.0,18,10to20
20.0,10931.0,19,10to20
20.0,10950.0,20,10to20
19.0,10884.0,21,10to20
20.0,10932.0,22,10to20
20.0,10933.0,23,10to20
14.0,10828.0,24,10to20
20.0,10960.0,25,10to20
13.0,10749.0,26,10to20
19.0,10957.0,27,10to20
20.0,10945.0,28,10to20
14.0,10832.0,29,10to20
30.0,11099.0,0,20to30
30.0,11111.0,1,20to30
29.0,11093.0,2,20to30
30.0,11107.0,3,20to30
30.0,11105.0,4,20to30
30.0,11078.0,5,20to30
30.0,11109.0,6,20to30
30.0,11085.0,7,20to30
30.0,11098.0,8,20to30
30.0,11103.0,9,20to30
30.0,11111.0,10,20to30
18.0,10944.0,11,20to30
30.0,11066.0,12,20to30
30.0,11104.0,13,20to30
30.0,11100.0,14,20to30
30.0,11109.0,15,20to30
30.0,11099.0,16,20to30
16.0,10835.0,17,20to30
29.0,11087.0,18,20to30
30.0,11089.0,19,20to30
30.0,11110.0,20,20to30
29.0,11056.0,21,20to30
30.0,11107.0,22,20to30
30.0,11109.0,23,20to30
27.0,11065.0,24,20to30
30.0,11111.0,25,20to30
30.0,11101.0,26,20to30
30.0,11109.0,27,20to30
29.0,11100.0,28,20to30
30.0,11103.0,29,20to30
38.0,11226.0,0,30to40
40.0,11228.0,1,30to40
40.0,11229.0,2,30to40
40.0,11131.0,3,30to40
39.0,11131.0,4,30to40
40.0,11227.0,5,30to40
40.0,11228.0,6,30to40
40.0,11229.0,7,30to40
28.0,11088.0,8,30to40
40.0,11229.0,9,30to40
40.0,11230.0,10,30to40
39.0,11228.0,11,30to40
40.0,11230.0,12,30to40
29.0,11097.0,13,30to40
40.0,11229.0,14,30to40
40.0,11225.0,15,30to40
40.0,11227.0,16,30to40
40.0,11228.0,17,30to40
40.0,11229.0,18,30to40
40.0,11230.0,19,30to40
40.0,11228.0,20,30to40
31.0,11121.0,21,30to40
38.0,11225.0,22,30to40
40.0,11228.0,23,30to40
40.0,11133.0,24,30to40
40.0,11229.0,25,30to40
40.0,11229.0,26,30to40
37.0,11223.0,27,30to40
40.0,11229.0,28,30to40
40.0,11229.0,29,30to40
14.0,10829.0,0,10to20
19.0,10961.0,1,10to20
12.0,10759.0,2,10to20
20.0,10952.0,3,10to20
20.0,10949.0,4,10to20
20.0,10947.0,5,10to20
20.0,10958.0,6,10to20
20.0,10955.0,7,10to20
20.0,10915.0,8,10to20
19.0,10923.0,9,10to20
20.0,10945.0,10,10to20
20.0,10960.0,11,10to20
20.0,10961.0,12,10to20
19.0,10955.0,13,10to20
20.0,10957.0,14,10to20
20.0,10954.0,15,10to20
18.0,10939.0,16,10to20
20.0,10954.0,17,10to20
19.0,10933.0,18,10to20
20.0,10931.0,19,10to20
20.0,10950.0,20,10to20
19.0,10884.0,21,10to20
20.0,10932.0,22,10to20
20.0,10933.0,23,10to20
14.0,10828.0,24,10to20
20.0,10960.0,25,10to20
13.0,10749.0,26,10to20
19.0,10957.0,27,10to20
20.0,10945.0,28,10to20
14.0,10832.0,29,10to20
30.0,11099.0,0,20to30
30.0,11111.0,1,20to30
29.0,11093.0,2,20to30
30.0,11107.0,3,20to30
30.0,11105.0,4,20to30
30.0,11078.0,5,20to30
30.0,11109.0,6,20to30
30.0,11085.0,7,20to30
30.0,11098.0,8,20to30
30.0,11103.0,9,20to30
30.0,11111.0,10,20to30
18.0,10944.0,11,20to30
30.0,11066.0,12,20to30
30.0,11104.0,13,20to30
30.0,11100.0,14,20to30
30.0,11109.0,15,20to30
30.0,11099.0,16,20to30
16.0,10835.0,17,20to30
29.0,11087.0,18,20to30
30.0,11089.0,19,20to30
30.0,11110.0,20,20to30
29.0,11056.0,21,20to30
30.0,11107.0,22,20to30
30.0,11109.0,23,20to30
27.0,11065.0,24,20to30
30.0,11111.0,25,20to30
30.0,11101.0,26,20to30
30.0,11109.0,27,20to30
29.0,11100.0,28,20to30
30.0,11103.0,29,20to30
38.0,11226.0,0,30to40
40.0,11228.0,1,30to40
40.0,11229.0,2,30to40
40.0,11131.0,3,30to40
39.0,11131.0,4,30to40
40.0,11227.0,5,30to40
40.0,11228.0,6,30to40
40.0,11229.0,7,30to40
28.0,11088.0,8,30to40
40.0,11229.0,9,30to40
40.0,11230.0,10,30to40
39.0,11228.0,11,30to40
40.0,11230.0,12,30to40
29.0,11097.0,13,30to40
40.0,11229.0,14,30to40
40.0,11225.0,15,30to40
40.0,11227.0,16,30to40
40.0,11228.0,17,30to40
40.0,11229.0,18,30to40
40.0,11230.0,19,30to40
40.0,11228.0,20,30to40
31.0,11121.0,21,30to40
38.0,11225.0,22,30to40
40.0,11228.0,23,30to40
40.0,11133.0,24,30to40
40.0,11229.0,25,30to40
40.0,11229.0,26,30to40
37.0,11223.0,27,30to40
40.0,11229.0,28,30to40
40.0,11229.0,29,30to40
14.0,10829.0,0,10to20
19.0,10961.0,1,10to20
12.0,10759.0,2,10to20
20.0,10952.0,3,10to20
20.0,10949.0,4,10to20
20.0,10947.0,5,10to20
20.0,10958.0,6,10to20
20.0,10955.0,7,10to20
20.0,10915.0,8,10to20
19.0,10923.0,9,10to20
20.0,10945.0,10,10to20
20.0,10960.0,11,10to20
20.0,10961.0,12,10to20
19.0,10955.0,13,10to20
20.0,10957.0,14,10to20
20.0,10954.0,15,10to20
18.0,10939.0,16,10to20
20.0,10954.0,17,10to20
19.0,10933.0,18,10to20
20.0,10931.0,19,10to20
20.0,10950.0,20,10to20
19.0,10884.0,21,10to20
20.0,10932.0,22,10to20
20.0,10933.0,23,10to20
14.0,10828.0,24,10to20
20.0,10960.0,25,10to20
13.0,10749.0,26,10to20
19.0,10957.0,27,10to20
20.0,10945.0,28,10to20
14.0,10832.0,29,10to20
30.0,11099.0,0,20to30
30.0,11111.0,1,20to30
29.0,11093.0,2,20to30
30.0,11107.0,3,20to30
30.0,11105.0,4,20to30
30.0,11078.0,5,20to30
30.0,11109.0,6,20to30
30.0,11085.0,7,20to30
30.0,11098.0,8,20to30
30.0,11103.0,9,20to30
30.0,11111.0,10,20to30
18.0,10944.0,11,20to30
30.0,11066.0,12,20to30
30.0,11104.0,13,20to30
30.0,11100.0,14,20to30
30.0,11109.0,15,20to30
30.0,11099.0,16,20to30
16.0,10835.0,17,20to30
29.0,11087.0,18,20to30
30.0,11089.0,19,20to30
30.0,11110.0,20,20to30
29.0,11056.0,21,20to30
30.0,11107.0,22,20to30
30.0,11109.0,23,20to30
27.0,11065.0,24,20to30
30.0,11111.0,25,20to30
30.0,11101.0,26,20to30
30.0,11109.0,27,20to30
29.0,11100.0,28,20to30
30.0,11103.0,29,20to30
38.0,11226.0,0,30to40
40.0,11228.0,1,30to40
40.0,11229.0,2,30to40
40.0,11131.0,3,30to40
39.0,11131.0,4,30to40
40.0,11227.0,5,30to40
40.0,11228.0,6,30to40
40.0,11229.0,7,30to40
28.0,11088.0,8,30to40
40.0,11229.0,9,30to40
40.0,11230.0,10,30to40
39.0,11228.0,11,30to40
40.0,11230.0,12,30to40
29.0,11097.0,13,30to40
40.0,11229.0,14,30to40
40.0,11225.0,15,30to40
40.0,11227.0,16,30to40
40.0,11228.0,17,30to40
40.0,11229.0,18,30to40
40.0,11230.0,19,30to40
40.0,11228.0,20,30to40
31.0,11121.0,21,30to40
38.0,11225.0,22,30to40
40.0,11228.0,23,30to40
40.0,11133.0,24,30to40
40.0,11229.0,25,30to40
40.0,11229.0,26,30to40
37.0,11223.0,27,30to40
40.0,11229.0,28,30to40
40.0,11229.0,29,30to40
14.0,10829.0,0,10to20
19.0,10961.0,1,10to20
12.0,10759.0,2,10to20
20.0,10952.0,3,10to20
20.0,10949.0,4,10to20
20.0,10947.0,5,10to20
20.0,10958.0,6,10to20
20.0,10955.0,7,10to20
20.0,10915.0,8,10to20
19.0,10923.0,9,10to20
20.0,10945.0,10,10to20
20.0,10960.0,11,10to20
20.0,10961.0,12,10to20
19.0,10955.0,13,10to20
20.0,10957.0,14,10to20
20.0,10954.0,15,10to20
18.0,10939.0,16,10to20
20.0,10954.0,17,10to20
19.0,10933.0,18,10to20
20.0,10931.0,19,10to20
20.0,10950.0,20,10to20
19.0,10884.0,21,10to20
20.0,10932.0,22,10to20
20.0,10933.0,23,10to20
14.0,10828.0,24,10to20
20.0,10960.0,25,10to20
13.0,10749.0,26,10to20
19.0,10957.0,27,10to20
20.0,10945.0,28,10to20
14.0,10832.0,29,10to20
30.0,11099.0,0,20to30
30.0,11111.0,1,20to30
29.0,11093.0,2,20to30
30.0,11107.0,3,20to30
30.0,11105.0,4,20to30
30.0,11078.0,5,20to30
30.0,11109.0,6,20to30
30.0,11085.0,7,20to30
30.0,11098.0,8,20to30
30.0,11103.0,9,20to30
30.0,11111.0,10,20to30
18.0,10944.0,11,20to30
30.0,11066.0,12,20to30
30.0,11104.0,13,20to30
30.0,11100.0,14,20to30
30.0,11109.0,15,20to30
30.0,11099.0,16,20to30
16.0,10835.0,17,20to30
29.0,11087.0,18,20to30
30.0,11089.0,19,20to30
30.0,11110.0,20,20to30
29.0,11056.0,21,20to30
30.0,11107.0,22,20to30
30.0,11109.0,23,20to30
27.0,11065.0,24,20to30
30.0,11111.0,25,20to30
30.0,11101.0,26,20to30
30.0,11109.0,27,20to30
29.0,11100.0,28,20to30
30.0,11103.0,29,20to30
38.0,11226.0,0,30to40
40.0,11228.0,1,30to40
40.0,11229.0,2,30to40
40.0,11131.0,3,30to40
39.0,11131.0,4,30to40
40.0,11227.0,5,30to40
40.0,11228.0,6,30to40
40.0,11229.0,7,30to40
28.0,11088.0,8,30to40
40.0,11229.0,9,30to40
40.0,11230.0,10,30to40
39.0,11228.0,11,30to40
40.0,11230.0,12,30to40
29.0,11097.0,13,30to40
40.0,11229.0,14,30to40
40.0,11225.0,15,30to40
40.0,11227.0,16,30to40
40.0,11228.0,17,30to40
40.0,11229.0,18,30to40
40.0,11230.0,19,30to40
40.0,11228.0,20,30to40
31.0,11121.0,21,30to40
38.0,11225.0,22,30to40
40.0,11228.0,23,30to40
40.0,11133.0,24,30to40
40.0,11229.0,25,30to40
40.0,11229.0,26,30to40
37.0,11223.0,27,30to40
40.0,11229.0,28,30to40
40.0,11229.0,29,30to40
14.0,10829.0,0,10to20
19.0,10961.0,1,10to20
12.0,10759.0,2,10to20
20.0,10952.0,3,10to20
20.0,10949.0,4,10to20
20.0,10947.0,5,10to20
20.0,10958.0,6,10to20
20.0,10955.0,7,10to20
20.0,10915.0,8,10to20
19.0,10923.0,9,10to20
20.0,10945.0,10,10to20
20.0,10960.0,11,10to20
20.0,10961.0,12,10to20
19.0,10955.0,13,10to20
20.0,10957.0,14,10to20
20.0,10954.0,15,10to20
18.0,10939.0,16,10to20
20.0,10954.0,17,10to20
19.0,10933.0,18,10to20
20.0,10931.0,19,10to20
20.0,10950.0,20,10to20
19.0,10884.0,21,10to20
20.0,10932.0,22,10to20
20.0,10933.0,23,10to20
14.0,10828.0,24,10to20
20.0,10960.0,25,10to20
13.0,10749.0,26,10to20
19.0,10957.0,27,10to20
20.0,10945.0,28,10to20
14.0,10832.0,29,10to20
30.0,11099.0,0,20to30
30.0,11111.0,1,20to30
29.0,11093.0,2,20to30
30.0,11107.0,3,20to30
30.0,11105.0,4,20to30
30.0,11078.0,5,20to30
30.0,11109.0,6,20to30
30.0,11085.0,7,20to30
30.0,11098.0,8,20to30
30.0,11103.0,9,20to30
30.0,11111.0,10,20to30
18.0,10944.0,11,20to30
30.0,11066.0,12,20to30
30.0,11104.0,13,20to30
30.0,11100.0,14,20to30
30.0,11109.0,15,20to30
30.0,11099.0,16,20to30
16.0,10835.0,17,20to30
29.0,11087.0,18,20to30
30.0,11089.0,19,20to30
30.0,11110.0,20,20to30
29.0,11056.0,21,20to30
30.0,11107.0,22,20to30
30.0,11109.0,23,20to30
27.0,11065.0,24,20to30
30.0,11111.0,25,20to30
30.0,11101.0,26,20to30
30.0,11109.0,27,20to30
29.0,11100.0,28,20to30
30.0,11103.0,29,20to30
38.0,11226.0,0,30to40
40.0,11228.0,1,30to40
40.0,11229.0,2,30to40
40.0,11131.0,3,30to40
39.0,11131.0,4,30to40
40.0,11227.0,5,30to40
40.0,11228.0,6,30to40
40.0,11229.0,7,30to40
28.0,11088.0,8,30to40
40.0,11229.0,9,30to40
40.0,11230.0,10,30to40
39.0,11228.0,11,30to40
40.0,11230.0,12,30to40
29.0,11097.0,13,30to40
40.0,11229.0,14,30to40
40.0,11225.0,15,30to40
40.0,11227.0,16,30to40
40.0,11228.0,17,30to40
40.0,11229.0,18,30to40
40.0,11230.0,19,30to40
40.0,11228.0,20,30to40
31.0,11121.0,21,30to40
38.0,11225.0,22,30to40
40.0,11228.0,23,30to40
40.0,11133.0,24,30to40
40.0,11229.0,25,30to40
40.0,11229.0,26,30to40
37.0,11223.0,27,30to40
40.0,11229.0,28,30to40
40.0,11229.0,29,30to40
14.0,10829.0,0,10to20
19.0,10961.0,1,10to20
12.0,10759.0,2,10to20
20.0,10952.0,3,10to20
20.0,10949.0,4,10to20
20.0,10947.0,5,10to20
20.0,10958.0,6,10to20
20.0,10955.0,7,10to20
20.0,10915.0,8,10to20
19.0,10923.0,9,10to20
20.0,10945.0,10,10to20
20.0,10960.0,11,10to20
20.0,10961.0,12,10to20
19.0,10955.0,13,10to20
20.0,10957.0,14,10to20
20.0,10954.0,15,10to20
18.0,10939.0,16,10to20
20.0,10954.0,17,10to20
19.0,10933.0,18,10to20
20.0,10931.0,19,10to20
20.0,10950.0,20,10to20
19.0,10884.0,21,10to20
20.0,10932.0,22,10to20
20.0,10933.0,23,10to20
14.0,10828.0,24,10to20
20.0,10960.0,25,10to20
13.0,10749.0,26,10to20
19.0,10957.0,27,10to20
20.0,10945.0,28,10to20
14.0,10832.0,29,10to20
30.0,11099.0,0,20to30
30.0,11111.0,1,20to30
29.0,11093.0,2,20to30
30.0,11107.0,3,20to30
30.0,11105.0,4,20to30
30.0,11078.0,5,20to30
30.0,11109.0,6,20to30
30.0,11085.0,7,20to30
30.0,11098.0,8,20to30
30.0,11103.0,9,20to30
30.0,11111.0,10,20to30
18.0,10944.0,11,20to30
30.0,11066.0,12,20to30
30.0,11104.0,13,20to30
30.0,11100.0,14,20to30
30.0,11109.0,15,20to30
30.0,11099.0,16,20to30
16.0,10835.0,17,20to30
29.0,11087.0,18,20to30
30.0,11089.0,19,20to30
30.0,11110.0,20,20to30
29.0,11056.0,21,20to30
30.0,11107.0,22,20to30
30.0,11109.0,23,20to30
27.0,11065.0,24,20to30
30.0,11111.0,25,20to30
30.0,11101.0,26,20to30
30.0,11109.0,27,20to30
29.0,11100.0,28,20to30
30.0,11103.0,29,20to30
38.0,11226.0,0,30to40
40.0,11228.0,1,30to40
40.0,11229.0,2,30to40
40.0,11131.0,3,30to40
39.0,11131.0,4,30to40
40.0,11227.0,5,30to40
40.0,11228.0,6,30to40
40.0,11229.0,7,30to40
28.0,11088.0,8,30to40
40.0,11229.0,9,30to40
40.0,11230.0,10,30to40
39.0,11228.0,11,30to40
40.0,11230.0,12,30to40
29.0,11097.0,13,30to40
40.0,11229.0,14,30to40
40.0,11225.0,15,30to40
40.0,11227.0,16,30to40
40.0,11228.0,17,30to40
40.0,11229.0,18,30to40
40.0,11230.0,19,30to40
40.0,11228.0,20,30to40
31.0,11121.0,21,30to40
38.0,11225.0,22,30to40
40.0,11228.0,23,30to40
40.0,11133.0,24,30to40
40.0,11229.0,25,30to40
40.0,11229.0,26,30to40
37.0,11223.0,27,30to40
40.0,11229.0,28,30to40
40.0,11229.0,29,30to40
14.0,10829.0,0,10to20
19.0,10961.0,1,10to20
12.0,10759.0,2,10to20
20.0,10952.0,3,10to20
20.0,10949.0,4,10to20
20.0,10947.0,5,10to20
20.0,10958.0,6,10to20
20.0,10955.0,7,10to20
20.0,10915.0,8,10to20
19.0,10923.0,9,10to20
20.0,10945.0,10,10to20
20.0,10960.0,11,10to20
20.0,10961.0,12,10to20
19.0,10955.0,13,10to20
20.0,10957.0,14,10to20
20.0,10954.0,15,10to20
18.0,10939.0,16,10to20
20.0,10954.0,17,10to20
19.0,10933.0,18,10to20
20.0,10931.0,19,10to20
20.0,10950.0,20,10to20
19.0,10884.0,21,10to20
20.0,10932.0,22,10to20
20.0,10933.0,23,10to20
14.0,10828.0,24,10to20
20.0,10960.0,25,10to20
13.0,10749.0,26,10to20
19.0,10957.0,27,10to20
20.0,10945.0,28,10to20
14.0,10832.0,29,10to20
30.0,11099.0,0,20to30
30.0,11111.0,1,20to30
29.0,11093.0,2,20to30
30.0,11107.0,3,20to30
30.0,11105.0,4,20to30
30.0,11078.0,5,20to30
30.0,11109.0,6,20to30
30.0,11085.0,7,20to30
30.0,11098.0,8,20to30
30.0,11103.0,9,20to30
30.0,11111.0,10,20to30
18.0,10944.0,11,20to30
30.0,11066.0,12,20to30
30.0,11104.0,13,20to30
30.0,11100.0,14,20to30
30.0,11109.0,15,20to30
30.0,11099.0,16,20to30
16.0,10835.0,17,20to30
29.0,11087.0,18,20to30
30.0,11089.0,19,20to30
30.0,11110.0,20,20to30
29.0,11056.0,21,20to30
30.0,11107.0,22,20to30
30.0,11109.0,23,20to30
27.0,11065.0,24,20to30
30.0,11111.0,25,20to30
30.0,11101.0,26,20to30
30.0,11109.0,27,20to30
29.0,11100.0,28,20to30
30.0,11103.0,29,20to30
38.0,11226.0,0,30to40
40.0,11228.0,1,30to40
40.0,11229.0,2,30to40
40.0,11131.0,3,30to40
39.0,11131.0,4,30to40
40.0,11227.0,5,30to40
40.0,11228.0,6,30to40
40.0,11229.0,7,30to40
28.0,11088.0,8,30to40
40.0,11229.0,9,30to40
40.0,11230.0,10,30to40
39.0,11228.0,11,30to40
40.0,11230.0,12,30to40
29.0,11097.0,13,30to40
40.0,11229.0,14,30to40
40.0,11225.0,15,30to40
40.0,11227.0,16,30to40
40.0,11228.0,17,30to40
40.0,11229.0,18,30to40
40.0,11230.0,19,30to40
40.0,11228.0,20,30to40
31.0,11121.0,21,30to40
38.0,11225.0,22,30to40
40.0,11228.0,23,30to40
40.0,11133.0,24,30to40
40.0,11229.0,25,30to40
40.0,11229.0,26,30to40
37.0,11223.0,27,30to40
40.0,11229.0,28,30to40
40.0,11229.0,29,30to40
14.0,10829.0,0,10to20
19.0,10961.0,1,10to20
12.0,10759.0,2,10to20
20.0,10952.0,3,10to20
20.0,10949.0,4,10to20
20.0,10947.0,5,10to20
20.0,10958.0,6,10to20
20.0,10955.0,7,10to20
20.0,10915.0,8,10to20
19.0,10923.0,9,10to20
20.0,10945.0,10,10to20
20.0,10960.0,11,10to20
20.0,10961.0,12,10to20
19.0,10955.0,13,10to20
20.0,10957.0,14,10to20
20.0,10954.0,15,10to20
18.0,10939.0,16,10to20
20.0,10954.0,17,10to20
19.0,10933.0,18,10to20
20.0,10931.0,19,10to20
20.0,10950.0,20,10to20
19.0,10884.0,21,10to20
20.0,10932.0,22,10to20
20.0,10933.0,23,10to20
14.0,10828.0,24,10to20
20.0,10960.0,25,10to20
13.0,10749.0,26,10to20
19.0,10957.0,27,10to20
20.0,10945.0,28,10to20
14.0,10832.0,29,10to20
30.0,11099.0,0,20to30
30.0,11111.0,1,20to30
29.0,11093.0,2,20to30
30.0,11107.0,3,20to30
30.0,11105.0,4,20to30
30.0,11078.0,5,20to30
30.0,11109.0,6,20to30
30.0,11085.0,7,20to30
30.0,11098.0,8,20to30
30.0,11103.0,9,20to30
30.0,11111.0,10,20to30
18.0,10944.0,11,20to30
30.0,11066.0,12,20to30
30.0,11104.0,13,20to30
30.0,11100.0,14,20to30
30.0,11109.0,15,20to30
30.0,11099.0,16,20to30
16.0,10835.0,17,20to30
29.0,11087.0,18,20to30
30.0,11089.0,19,20to30
30.0,11110.0,20,20to30
29.0,11056.0,21,20to30
30.0,11107.0,22,20to30
30.0,11109.0,23,20to30
27.0,11065.0,24,20to30
30.0,11111.0,25,20to30
30.0,11101.0,26,20to30
30.0,11109.0,27,20to30
29.0,11100.0,28,20to30
30.0,11103.0,29,20to30
38.0,11226.0,0,30to40
40.0,11228.0,1,30to40
40.0,11229.0,2,30to40
40.0,11131.0,3,30to40
39.0,11131.0,4,30to40
40.0,11227.0,5,30to40
40.0,11228.0,6,30to40
40.0,11229.0,7,30to40
28.0,11088.0,8,30to40
40.0,11229.0,9,30to40
40.0,11230.0,10,30to40
39.0,11228.0,11,30to40
40.0,11230.0,12,30to40
29.0,11097.0,13,30to40
40.0,11229.0,14,30to40
40.0,11225.0,15,30to40
40.0,11227.0,16,30to40
40.0,11228.0,17,30to40
40.0,11229.0,18,30to40
40.0,11230.0,19,30to40
40.0,11228.0,20,30to40
31.0,11121.0,21,30to40
38.0,11225.0,22,30to40
40.0,11228.0,23,30to40
40.0,11133.0,24,30to40
40.0,11229.0,25,30to40
40.0,11229.0,26,30to40
37.0,11223.0,27,30to40
40.0,11229.0,28,30to40
40.0,11229.0,29,30to40
14.0,10829.0,0,10to20
19.0,10961.0,1,10to20
12.0,10759.0,2,10to20
20.0,10952.0,3,10to20
20.0,10949.0,4,10to20
20.0,10947.0,5,10to20
20.0,10958.0,6,10to20
20.0,10955.0,7,10to20
20.0,10915.0,8,10to20
19.0,10923.0,9,10to20
20.0,10945.0,10,10to20
20.0,10960.0,11,10to20
20.0,10961.0,12,10to20
19.0,10955.0,13,10to20
20.0,10957.0,14,10to20
20.0,10954.0,15,10to20
18.0,10939.0,16,10to20
20.0,10954.0,17,10to20
19.0,10933.0,18,10to20
20.0,10931.0,19,10to20
20.0,10950.0,20,10to20
19.0,10884.0,21,10to20
20.0,10932.0,22,10to20
20.0,10933.0,23,10to20
14.0,10828.0,24,10to20
20.0,10960.0,25,10to20
13.0,10749.0,26,10to20
19.0,10957.0,27,10to20
20.0,10945.0,28,10to20
14.0,10832.0,29,10to20
30.0,11099.0,0,20to30
30.0,11111.0,1,20to30
29.0,11093.0,2,20to30
30.0,11107.0,3,20to30
30.0,11105.0,4,20to30
30.0,11078.0,5,20to30
30.0,11109.0,6,20to30
30.0,11085.0,7,20to30
30.0,11098.0,8,20to30
30.0,11103.0,9,20to30
30.0,11111.0,10,20to30
18.0,10944.0,11,20to30
30.0,11066.0,12,20to30
30.0,11104.0,13,20to30
30.0,11100.0,14,20to30
30.0,11109.0,15,20to30
30.0,11099.0,16,20to30
16.0,10835.0,17,20to30
29.0,11087.0,18,20to30
30.0,11089.0,19,20to30
30.0,11110.0,20,20to30
29.0,11056.0,21,20to30
30.0,11107.0,22,20to30
30.0,11109.0,23,20to30
27.0,11065.0,24,20to30
30.0,11111.0,25,20to30
30.0,11101.0,26,20to30
30.0,11109.0,27,20to30
29.0,11100.0,28,20to30
30.0,11103.0,29,20to30
38.0,11226.0,0,30to40
40.0,11228.0,1,30to40
40.0,11229.0,2,30to40
40.0,11131.0,3,30to40
39.0,11131.0,4,30to40
40.0,11227.0,5,30to40
40.0,11228.0,6,30to40
40.0,11229.0,7,30to40
28.0,11088.0,8,30to40
40.0,11229.0,9,30to40
40.0,11230.0,10,30to40
39.0,11228.0,11,30to40
40.0,11230.0,12,30to40
29.0,11097.0,13,30to40
40.0,11229.0,14,30to40
40.0,11225.0,15,30to40
40.0,11227.0,16,30to40
40.0,11228.0,17,30to40
40.0,11229.0,18,30to40
40.0,11230.0,19,30to40
40.0,11228.0,20,30to40
31.0,11121.0,21,30to40
38.0,11225.0,22,30to40
40.0,11228.0,23,30to40
40.0,11133.0,24,30to40
40.0,11229.0,25,30to40
40.0,11229.0,26,30to40
37.0,11223.0,27,30to40
40.0,11229.0,28,30to40
40.0,11229.0,29,30to40
14.0,10829.0,0,10to20
19.0,10961.0,1,10to20
12.0,10759.0,2,10to20
20.0,10952.0,3,10to20
20.0,10949.0,4,10to20
20.0,10947.0,5,10to20
20.0,10958.0,6,10to20
20.0,10955.0,7,10to20
20.0,10915.0,8,10to20
19.0,10923.0,9,10to20
20.0,10945.0,10,10to20
20.0,10960.0,11,10to20
20.0,10961.0,12,10to20
19.0,10955.0,13,10to20
20.0,10957.0,14,10to20
20.0,10954.0,15,10to20
18.0,10939.0,16,10to20
20.0,10954.0,17,10to20
19.0,10933.0,18,10to20
20.0,10931.0,19,10to20
20.0,10950.0,20,10to20
19.0,10884.0,21,10to20
20.0,10932.0,22,10to20
20.0,10933.0,23,10to20
14.0,10828.0,24,10to20
20.0,10960.0,25,10to20
13.0,10749.0,26,10to20
19.0,10957.0,27,10to20
20.0,10945.0,28,10to20
14.0,10832.0,29,10to20
30.0,11099.0,0,20to30
30.0,11111.0,1,20to30
29.0,11093.0,2,20to30
30.0,11107.0,3,20to30
30.0,11105.0,4,20to30
30.0,11078.0,5,20to30
30.0,11109.0,6,20to30
30.0,11085.0,7,20to30
30.0,11098.0,8,20to30
30.0,11103.0,9,20to30
30.0,11111.0,10,20to30
18.0,10944.0,11,20to30
30.0,11066.0,12,20to30
30.0,11104.0,13,20to30
30.0,11100.0,14,20to30
30.0,11109.0,15,20to30
30.0,11099.0,16,20to30
16.0,10835.0,17,20to30
29.0,11087.0,18,20to30
30.0,11089.0,19,20to30
30.0,11110.0,20,20to30
29.0,11056.0,21,20to30
30.0,11107.0,22,20to30
30.0,11109.0,23,20to30
27.0,11065.0,24,20to30
30.0,11111.0,25,20to30
30.0,11101.0,26,20to30
30.0,11109.0,27,20to30
29.0,11100.0,28,20to30
30.0,11103.0,29,20to30
38.0,11226.0,0,30to40
40.0,11228.0,1,30to40
40.0,11229.0,2,30to40
