V1,V2,set,DM_range
30.0,9876.0,1,20to30
30.0,9902.0,2,20to30
30.0,9885.0,3,20to30
30.0,9927.0,4,20to30
30.0,9880.0,5,20to30
30.0,9837.0,6,20to30
30.0,9879.0,7,20to30
30.0,9865.0,8,20to30
30.0,9873.0,9,20to30
30.0,9777.0,10,20to30
30.0,9887.0,11,20to30
30.0,9879.0,12,20to30
30.0,9927.0,13,20to30
30.0,9712.0,14,20to30
30.0,9890.0,15,20to30
26.0,9654.0,16,20to30
30.0,9752.0,17,20to30
26.0,9653.0,18,20to30
29.0,9817.0,19,20to30
30.0,9764.0,20,20to30
30.0,9918.0,21,20to30
30.0,9917.0,22,20to30
30.0,9905.0,23,20to30
30.0,9911.0,24,20to30
30.0,9899.0,25,20to30
30.0,9910.0,26,20to30
29.0,9886.0,27,20to30
30.0,9887.0,28,20to30
30.0,9868.0,29,20to30
40.0,10376.0,0,30to40
40.0,10417.0,1,30to40
40.0,10391.0,2,30to40
40.0,10474.0,3,30to40
40.0,10396.0,4,30to40
32.0,9948.0,5,30to40
40.0,10465.0,6,30to40
31.0,9934.0,7,30to40
40.0,10417.0,8,30to40
40.0,10421.0,9,30to40
40.0,10386.0,10,30to40
40.0,10416.0,11,30to40
40.0,10504.0,12,30to40
34.0,10083.0,13,30to40
40.0,10341.0,14,30to40
40.0,10333.0,15,30to40
40.0,10414.0,16,30to40
40.0,10412.0,17,30to40
40.0,10441.0,18,30to40
40.0,10391.0,19,30to40
40.0,10382.0,20,30to40
31.0,9934.0,21,30to40
40.0,10470.0,22,30to40
40.0,10415.0,23,30to40
27.0,9700.0,24,30to40
40.0,10285.0,25,30to40
36.0,10190.0,26,30to40
40.0,10348.0,27,30to40
39.0,10385.0,28,30to40
40.0,10335.0,29,30to40
20.0,9198.0,0,10to20
11.0,8570.0,1,10to20
20.0,9186.0,2,10to20
20.0,9176.0,3,10to20
20.0,9185.0,4,10to20
20.0,9220.0,5,10to20
20.0,9046.0,6,10to20
20.0,9228.0,7,10to20
20.0,9181.0,8,10to20
20.0,9189.0,9,10to20
20.0,9177.0,10,10to20
20.0,9218.0,11,10to20
20.0,9171.0,12,10to20
20.0,9182.0,13,10to20
19.0,9146.0,14,10to20
20.0,9161.0,15,10to20
20.0,9218.0,16,10to20
15.0,8957.0,17,10to20
20.0,9263.0,18,10to20
16.0,8972.0,19,10to20
20.0,9274.0,20,10to20
20.0,9312.0,21,10to20
20.0,9204.0,22,10to20
20.0,9210.0,23,10to20
20.0,9199.0,24,10to20
20.0,9313.0,25,10to20
20.0,9128.0,26,10to20
20.0,9282.0,27,10to20
20.0,9278.0,28,10to20
20.0,9171.0,29,10to20
30.0,9870.0,0,20to30
30.0,9876.0,1,20to30
30.0,9902.0,2,20to30
30.0,9885.0,3,20to30
30.0,9927.0,4,20to30
30.0,9880.0,5,20to30
30.0,9837.0,6,20to30
30.0,9879.0,7,20to30
30.0,9865.0,8,20to30
30.0,9873.0,9,20to30
30.0,9777.0,10,20to30
30.0,9887.0,11,20to30
30.0,9879.0,12,20to30
30.0,9927.0,13,20to30
30.0,9712.0,14,20to30
30.0,9890.0,15,20to30
26.0,9654.0,16,20to30
30.0,9752.0,17,20to30
26.0,9653.0,18,20to30
29.0,9817.0,19,20to30
30.0,9764.0,20,20to30
30.0,9918.0,21,20to30
30.0,9917.0,22,20to30
30.0,9905.0,23,20to30
30.0,9911.0,24,20to30
30.0,9899.0,25,20to30
30.0,9910.0,26,20to30
29.0,9886.0,27,20to30
30.0,9887.0,28,20to30
30.0,9868.0,29,20to30
40.0,10376.0,0,30to40
40.0,10417.0,1,30to40
40.0,10391.0,2,30to40
40.0,10474.0,3,30to40
40.0,10396.0,4,30to40
32.0,9948.0,5,30to40
40.0,10465.0,6,30to40
31.0,9934.0,7,30to40
40.0,10417.0,8,30to40
40.0,10421.0,9,30to40
40.0,10386.0,10,30to40
40.0,10416.0,11,30to40
40.0,10504.0,12,30to40
34.0,10083.0,13,30to40
40.0,10341.0,14,30to40
40.0,10333.0,15,30to40
40.0,10414.0,16,30to40
40.0,10412.0,17,30to40
40.0,10441.0,18,30to40
40.0,10391.0,19,30to40
40.0,10382.0,20,30to40
31.0,9934.0,21,30to40
40.0,10470.0,22,30to40
40.0,10415.0,23,30to40
27.0,9700.0,24,30to40
40.0,10285.0,25,30to40
36.0,10190.0,26,30to40
40.0,10348.0,27,30to40
39.0,10385.0,28,30to40
40.0,10335.0,29,30to40
20.0,9198.0,0,10to20
11.0,8570.0,1,10to20
20.0,9186.0,2,10to20
20.0,9176.0,3,10to20
20.0,9185.0,4,10to20
20.0,9220.0,5,10to20
20.0,9046.0,6,10to20
20.0,9228.0,7,10to20
20.0,9181.0,8,10to20
20.0,9189.0,9,10to20
20.0,9177.0,10,10to20
20.0,9218.0,11,10to20
20.0,9171.0,12,10to20
20.0,9182.0,13,10to20
19.0,9146.0,14,10to20
20.0,9161.0,15,10to20
20.0,9218.0,16,10to20
15.0,8957.0,17,10to20
20.0,9263.0,18,10to20
16.0,8972.0,19,10to20
20.0,9274.0,20,10to20
20.0,9312.0,21,10to20
20.0,9204.0,22,10to20
20.0,9210.0,23,10to20
20.0,9199.0,24,10to20
20.0,9313.0,25,10to20
20.0,9128.0,26,10to20
20.0,9282.0,27,10to20
20.0,9278.0,28,10to20
20.0,9171.0,29,10to20
30.0,9870.0,0,20to30
30.0,9876.0,1,20to30
30.0,9902.0,2,20to30
30.0,9885.0,3,20to30
30.0,9927.0,4,20to30
30.0,9880.0,5,20to30
30.0,9837.0,6,20to30
30.0,9879.0,7,20to30
30.0,9865.0,8,20to30
30.0,9873.0,9,20to30
30.0,9777.0,10,20to30
30.0,9887.0,11,20to30
30.0,9879.0,12,20to30
30.0,9927.0,13,20to30
30.0,9712.0,14,20to30
30.0,9890.0,15,20to30
26.0,9654.0,16,20to30
30.0,9752.0,17,20to30
26.0,9653.0,18,20to30
29.0,9817.0,19,20to30
30.0,9764.0,20,20to30
30.0,9918.0,21,20to30
30.0,9917.0,22,20to30
30.0,9905.0,23,20to30
30.0,9911.0,24,20to30
30.0,9899.0,25,20to30
30.0,9910.0,26,20to30
29.0,9886.0,27,20to30
30.0,9887.0,28,20to30
30.0,9868.0,29,20to30
40.0,10376.0,0,30to40
40.0,10417.0,1,30to40
40.0,10391.0,2,30to40
40.0,10474.0,3,30to40
40.0,10396.0,4,30to40
32.0,9948.0,5,30to40
40.0,10465.0,6,30to40
31.0,9934.0,7,30to40
40.0,10417.0,8,30to40
40.0,10421.0,9,30to40
40.0,10386.0,10,30to40
40.0,10416.0,11,30to40
40.0,10504.0,12,30to40
34.0,10083.0,13,30to40
40.0,10341.0,14,30to40
40.0,10333.0,15,30to40
40.0,10414.0,16,30to40
40.0,10412.0,17,30to40
40.0,10441.0,18,30to40
40.0,10391.0,19,30to40
40.0,10382.0,20,30to40
31.0,9934.0,21,30to40
40.0,10470.0,22,30to40
40.0,10415.0,23,30to40
27.0,9700.0,24,30to40
40.0,10285.0,25,30to40
36.0,10190.0,26,30to40
40.0,10348.0,27,30to40
39.0,10385.0,28,30to40
40.0,10335.0,29,30to40
20.0,9198.0,0,10to20
11.0,8570.0,1,10to20
20.0,9186.0,2,10to20
20.0,9176.0,3,10to20
20.0,9185.0,4,10to20
20.0,9220.0,5,10to20
20.0,9046.0,6,10to20
20.0,9228.0,7,10to20
20.0,9181.0,8,10to20
20.0,9189.0,9,10to20
20.0,9177.0,10,10to20
20.0,9218.0,11,10to20
20.0,9171.0,12,10to20
20.0,9182.0,13,10to20
19.0,9146.0,14,10to20
20.0,9161.0,15,10to20
20.0,9218.0,16,10to20
15.0,8957.0,17,10to20
20.0,9263.0,18,10to20
16.0,8972.0,19,10to20
20.0,9274.0,20,10to20
20.0,9312.0,21,10to20
20.0,9204.0,22,10to20
20.0,9210.0,23,10to20
20.0,9199.0,24,10to20
20.0,9313.0,25,10to20
20.0,9128.0,26,10to20
20.0,9282.0,27,10to20
20.0,9278.0,28,10to20
20.0,9171.0,29,10to20
30.0,9870.0,0,20to30
30.0,9876.0,1,20to30
30.0,9902.0,2,20to30
30.0,9885.0,3,20to30
30.0,9927.0,4,20to30
30.0,9880.0,5,20to30
30.0,9837.0,6,20to30
30.0,9879.0,7,20to30
30.0,9865.0,8,20to30
30.0,9873.0,9,20to30
30.0,9777.0,10,20to30
30.0,9887.0,11,20to30
30.0,9879.0,12,20to30
30.0,9927.0,13,20to30
30.0,9712.0,14,20to30
30.0,9890.0,15,20to30
26.0,9654.0,16,20to30
30.0,9752.0,17,20to30
26.0,9653.0,18,20to30
29.0,9817.0,19,20to30
30.0,9764.0,20,20to30
30.0,9918.0,21,20to30
30.0,9917.0,22,20to30
30.0,9905.0,23,20to30
30.0,9911.0,24,20to30
30.0,9899.0,25,20to30
30.0,9910.0,26,20to30
29.0,9886.0,27,20to30
30.0,9887.0,28,20to30
30.0,9868.0,29,20to30
40.0,10376.0,0,30to40
40.0,10417.0,1,30to40
40.0,10391.0,2,30to40
40.0,10474.0,3,30to40
40.0,10396.0,4,30to40
32.0,9948.0,5,30to40
40.0,10465.0,6,30to40
31.0,9934.0,7,30to40
40.0,10417.0,8,30to40
40.0,10421.0,9,30to40
40.0,10386.0,10,30to40
40.0,10416.0,11,30to40
40.0,10504.0,12,30to40
34.0,10083.0,13,30to40
40.0,10341.0,14,30to40
40.0,10333.0,15,30to40
40.0,10414.0,16,30to40
40.0,10412.0,17,30to40
40.0,10441.0,18,30to40
40.0,10391.0,19,30to40
40.0,10382.0,20,30to40
31.0,9934.0,21,30to40
40.0,10470.0,22,30to40
40.0,10415.0,23,30to40
27.0,9700.0,24,30to40
40.0,10285.0,25,30to40
36.0,10190.0,26,30to40
40.0,10348.0,27,30to40
39.0,10385.0,28,30to40
40.0,10335.0,29,30to40
20.0,9198.0,0,10to20
11.0,8570.0,1,10to20
20.0,9186.0,2,10to20
20.0,9176.0,3,10to20
20.0,9185.0,4,10to20
20.0,9220.0,5,10to20
20.0,9046.0,6,10to20
20.0,9228.0,7,10to20
20.0,9181.0,8,10to20
20.0,9189.0,9,10to20
20.0,9177.0,10,10to20
20.0,9218.0,11,10to20
20.0,9171.0,12,10to20
20.0,9182.0,13,10to20
19.0,9146.0,14,10to20
20.0,9161.0,15,10to20
20.0,9218.0,16,10to20
15.0,8957.0,17,10to20
20.0,9263.0,18,10to20
16.0,8972.0,19,10to20
20.0,9274.0,20,10to20
20.0,9312.0,21,10to20
20.0,9204.0,22,10to20
20.0,9210.0,23,10to20
20.0,9199.0,24,10to20
20.0,9313.0,25,10to20
20.0,9128.0,26,10to20
20.0,9282.0,27,10to20
20.0,9278.0,28,10to20
20.0,9171.0,29,10to20
30.0,9870.0,0,20to30
30.0,9876.0,1,20to30
30.0,9902.0,2,20to30
30.0,9885.0,3,20to30
30.0,9927.0,4,20to30
30.0,9880.0,5,20to30
30.0,9837.0,6,20to30
30.0,9879.0,7,20to30
30.0,9865.0,8,20to30
30.0,9873.0,9,20to30
30.0,9777.0,10,20to30
30.0,9887.0,11,20to30
30.0,9879.0,12,20to30
30.0,9927.0,13,20to30
30.0,9712.0,14,20to30
30.0,9890.0,15,20to30
26.0,9654.0,16,20to30
30.0,9752.0,17,20to30
26.0,9653.0,18,20to30
29.0,9817.0,19,20to30
30.0,9764.0,20,20to30
30.0,9918.0,21,20to30
30.0,9917.0,22,20to30
30.0,9905.0,23,20to30
30.0,9911.0,24,20to30
30.0,9899.0,25,20to30
30.0,9910.0,26,20to30
29.0,9886.0,27,20to30
30.0,9887.0,28,20to30
30.0,9868.0,29,20to30
40.0,10376.0,0,30to40
40.0,10417.0,1,30to40
40.0,10391.0,2,30to40
40.0,10474.0,3,30to40
40.0,10396.0,4,30to40
32.0,9948.0,5,30to40
40.0,10465.0,6,30to40
31.0,9934.0,7,30to40
40.0,10417.0,8,30to40
40.0,10421.0,9,30to40
40.0,10386.0,10,30to40
40.0,10416.0,11,30to40
40.0,10504.0,12,30to40
34.0,10083.0,13,30to40
40.0,10341.0,14,30to40
40.0,10333.0,15,30to40
40.0,10414.0,16,30to40
40.0,10412.0,17,30to40
40.0,10441.0,18,30to40
40.0,10391.0,19,30to40
40.0,10382.0,20,30to40
31.0,9934.0,21,30to40
40.0,10470.0,22,30to40
40.0,10415.0,23,30to40
27.0,9700.0,24,30to40
40.0,10285.0,25,30to40
36.0,10190.0,26,30to40
40.0,10348.0,27,30to40
39.0,10385.0,28,30to40
40.0,10335.0,29,30to40
20.0,9198.0,0,10to20
11.0,8570.0,1,10to20
20.0,9186.0,2,10to20
20.0,9176.0,3,10to20
20.0,9185.0,4,10to20
20.0,9220.0,5,10to20
20.0,9046.0,6,10to20
20.0,9228.0,7,10to20
20.0,9181.0,8,10to20
20.0,9189.0,9,10to20
20.0,9177.0,10,10to20
20.0,9218.0,11,10to20
20.0,9171.0,12,10to20
20.0,9182.0,13,10to20
19.0,9146.0,14,10to20
20.0,9161.0,15,10to20
20.0,9218.0,16,10to20
15.0,8957.0,17,10to20
20.0,9263.0,18,10to20
16.0,8972.0,19,10to20
20.0,9274.0,20,10to20
20.0,9312.0,21,10to20
20.0,9204.0,22,10to20
20.0,9210.0,23,10to20
20.0,9199.0,24,10to20
20.0,9313.0,25,10to20
20.0,9128.0,26,10to20
20.0,9282.0,27,10to20
20.0,9278.0,28,10to20
20.0,9171.0,29,10to20
30.0,9870.0,0,20to30
30.0,9876.0,1,20to30
30.0,9902.0,2,20to30
30.0,9885.0,3,20to30
30.0,9927.0,4,20to30
30.0,9880.0,5,20to30
30.0,9837.0,6,20to30
30.0,9879.0,7,20to30
30.0,9865.0,8,20to30
30.0,9873.0,9,20to30
30.0,9777.0,10,20to30
30.0,9887.0,11,20to30
30.0,9879.0,12,20to30
30.0,9927.0,13,20to30
30.0,9712.0,14,20to30
30.0,9890.0,15,20to30
26.0,9654.0,16,20to30
30.0,9752.0,17,20to30
26.0,9653.0,18,20to30
29.0,9817.0,19,20to30
30.0,9764.0,20,20to30
30.0,9918.0,21,20to30
30.0,9917.0,22,20to30
30.0,9905.0,23,20to30
30.0,9911.0,24,20to30
30.0,9899.0,25,20to30
30.0,9910.0,26,20to30
29.0,9886.0,27,20to30
30.0,9887.0,28,20to30
30.0,9868.0,29,20to30
40.0,10376.0,0,30to40
40.0,10417.0,1,30to40
40.0,10391.0,2,30to40
40.0,10474.0,3,30to40
40.0,10396.0,4,30to40
32.0,9948.0,5,30to40
40.0,10465.0,6,30to40
31.0,9934.0,7,30to40
40.0,10417.0,8,30to40
40.0,10421.0,9,30to40
40.0,10386.0,10,30to40
40.0,10416.0,11,30to40
40.0,10504.0,12,30to40
34.0,10083.0,13,30to40
40.0,10341.0,14,30to40
40.0,10333.0,15,30to40
40.0,10414.0,16,30to40
40.0,10412.0,17,30to40
40.0,10441.0,18,30to40
40.0,10391.0,19,30to40
40.0,10382.0,20,30to40
31.0,9934.0,21,30to40
40.0,10470.0,22,30to40
40.0,10415.0,23,30to40
27.0,9700.0,24,30to40
40.0,10285.0,25,30to40
36.0,10190.0,26,30to40
40.0,10348.0,27,30to40
39.0,10385.0,28,30to40
40.0,10335.0,29,30to40
20.0,9198.0,0,10to20
11.0,8570.0,1,10to20
20.0,9186.0,2,10to20
20.0,9176.0,3,10to20
20.0,9185.0,4,10to20
20.0,9220.0,5,10to20
20.0,9046.0,6,10to20
20.0,9228.0,7,10to20
20.0,9181.0,8,10to20
20.0,9189.0,9,10to20
20.0,9177.0,10,10to20
20.0,9218.0,11,10to20
20.0,9171.0,12,10to20
20.0,9182.0,13,10to20
19.0,9146.0,14,10to20
20.0,9161.0,15,10to20
20.0,9218.0,16,10to20
15.0,8957.0,17,10to20
20.0,9263.0,18,10to20
16.0,8972.0,19,10to20
20.0,9274.0,20,10to20
20.0,9312.0,21,10to20
20.0,9204.0,22,10to20
20.0,9210.0,23,10to20
20.0,9199.0,24,10to20
20.0,9313.0,25,10to20
20.0,9128.0,26,10to20
20.0,9282.0,27,10to20
20.0,9278.0,28,10to20
20.0,9171.0,29,10to20
30.0,9870.0,0,20to30
30.0,9876.0,1,20to30
30.0,9902.0,2,20to30
30.0,9885.0,3,20to30
30.0,9927.0,4,20to30
30.0,9880.0,5,20to30
30.0,9837.0,6,20to30
30.0,9879.0,7,20to30
30.0,9865.0,8,20to30
30.0,9873.0,9,20to30
30.0,9777.0,10,20to30
30.0,9887.0,11,20to30
30.0,9879.0,12,20to30
30.0,9927.0,13,20to30
30.0,9712.0,14,20to30
30.0,9890.0,15,20to30
26.0,9654.0,16,20to30
30.0,9752.0,17,20to30
26.0,9653.0,18,20to30
29.0,9817.0,19,20to30
30.0,9764.0,20,20to30
30.0,9918.0,21,20to30
30.0,9917.0,22,20to30
30.0,9905.0,23,20to30
30.0,9911.0,24,20to30
30.0,9899.0,25,20to30
30.0,9910.0,26,20to30
29.0,9886.0,27,20to30
30.0,9887.0,28,20to30
30.0,9868.0,29,20to30
40.0,10376.0,0,30to40
40.0,10417.0,1,30to40
40.0,10391.0,2,30to40
40.0,10474.0,3,30to40
40.0,10396.0,4,30to40
32.0,9948.0,5,30to40
40.0,10465.0,6,30to40
31.0,9934.0,7,30to40
40.0,10417.0,8,30to40
40.0,10421.0,9,30to40
40.0,10386.0,10,30to40
40.0,10416.0,11,30to40
40.0,10504.0,12,30to40
34.0,10083.0,13,30to40
40.0,10341.0,14,30to40
40.0,10333.0,15,30to40
40.0,10414.0,16,30to40
40.0,10412.0,17,30to40
40.0,10441.0,18,30to40
40.0,10391.0,19,30to40
40.0,10382.0,20,30to40
31.0,9934.0,21,30to40
40.0,10470.0,22,30to40
40.0,10415.0,23,30to40
27.0,9700.0,24,30to40
40.0,10285.0,25,30to40
36.0,10190.0,26,30to40
40.0,10348.0,27,30to40
39.0,10385.0,28,30to40
40.0,10335.0,29,30to40
20.0,9198.0,0,10to20
11.0,8570.0,1,10to20
20.0,9186.0,2,10to20
20.0,9176.0,3,10to20
20.0,9185.0,4,10to20
20.0,9220.0,5,10to20
20.0,9046.0,6,10to20
20.0,9228.0,7,10to20
20.0,9181.0,8,10to20
20.0,9189.0,9,10to20
20.0,9177.0,10,10to20
20.0,9218.0,11,10to20
20.0,9171.0,12,10to20
20.0,9182.0,13,10to20
19.0,9146.0,14,10to20
20.0,9161.0,15,10to20
20.0,9218.0,16,10to20
15.0,8957.0,17,10to20
20.0,9263.0,18,10to20
16.0,8972.0,19,10to20
20.0,9274.0,20,10to20
20.0,9312.0,21,10to20
20.0,9204.0,22,10to20
20.0,9210.0,23,10to20
20.0,9199.0,24,10to20
20.0,9313.0,25,10to20
20.0,9128.0,26,10to20
20.0,9282.0,27,10to20
20.0,9278.0,28,10to20
20.0,9171.0,29,10to20
30.0,9870.0,0,20to30
30.0,9876.0,1,20to30
30.0,9902.0,2,20to30
30.0,9885.0,3,20to30
30.0,9927.0,4,20to30
30.0,9880.0,5,20to30
30.0,9837.0,6,20to30
30.0,9879.0,7,20to30
30.0,9865.0,8,20to30
30.0,9873.0,9,20to30
30.0,9777.0,10,20to30
30.0,9887.0,11,20to30
30.0,9879.0,12,20to30
30.0,9927.0,13,20to30
30.0,9712.0,14,20to30
30.0,9890.0,15,20to30
26.0,9654.0,16,20to30
30.0,9752.0,17,20to30
26.0,9653.0,18,20to30
29.0,9817.0,19,20to30
30.0,9764.0,20,20to30
30.0,9918.0,21,20to30
30.0,9917.0,22,20to30
30.0,9905.0,23,20to30
30.0,9911.0,24,20to30
30.0,9899.0,25,20to30
30.0,9910.0,26,20to30
29.0,9886.0,27,20to30
30.0,9887.0,28,20to30
30.0,9868.0,29,20to30
40.0,10376.0,0,30to40
40.0,10417.0,1,30to40
40.0,10391.0,2,30to40
40.0,10474.0,3,30to40
40.0,10396.0,4,30to40
32.0,9948.0,5,30to40
40.0,10465.0,6,30to40
31.0,9934.0,7,30to40
40.0,10417.0,8,30to40
40.0,10421.0,9,30to40
40.0,10386.0,10,30to40
40.0,10416.0,11,30to40
40.0,10504.0,12,30to40
34.0,10083.0,13,30to40
40.0,10341.0,14,30to40
40.0,10333.0,15,30to40
40.0,10414.0,16,30to40
40.0,10412.0,17,30to40
40.0,10441.0,18,30to40
40.0,10391.0,19,30to40
40.0,10382.0,20,30to40
31.0,9934.0,21,30to40
40.0,10470.0,22,30to40
40.0,10415.0,23,30to40
27.0,9700.0,24,30to40
40.0,10285.0,25,30to40
36.0,10190.0,26,30to40
40.0,10348.0,27,30to40
39.0,10385.0,28,30to40
40.0,10335.0,29,30to40
20.0,9198.0,0,10to20
11.0,8570.0,1,10to20
20.0,9186.0,2,10to20
20.0,9176.0,3,10to20
20.0,9185.0,4,10to20
20.0,9220.0,5,10to20
20.0,9046.0,6,10to20
20.0,9228.0,7,10to20
20.0,9181.0,8,10to20
20.0,9189.0,9,10to20
20.0,9177.0,10,10to20
20.0,9218.0,11,10to20
20.0,9171.0,12,10to20
20.0,9182.0,13,10to20
19.0,9146.0,14,10to20
20.0,9161.0,15,10to20
20.0,9218.0,16,10to20
15.0,8957.0,17,10to20
20.0,9263.0,18,10to20
16.0,8972.0,19,10to20
20.0,9274.0,20,10to20
20.0,9312.0,21,10to20
20.0,9204.0,22,10to20
20.0,9210.0,23,10to20
20.0,9199.0,24,10to20
20.0,9313.0,25,10to20
20.0,9128.0,26,10to20
20.0,9282.0,27,10to20
20.0,9278.0,28,10to20
20.0,9171.0,29,10to20
30.0,9870.0,0,20to30
30.0,9876.0,1,20to30
30.0,9902.0,2,20to30
30.0,9885.0,3,20to30
30.0,9927.0,4,20to30
30.0,9880.0,5,20to30
30.0,9837.0,6,20to30
30.0,9879.0,7,20to30
30.0,9865.0,8,20to30
30.0,9873.0,9,20to30
30.0,9777.0,10,20to30
30.0,9887.0,11,20to30
30.0,9879.0,12,20to30
30.0,9927.0,13,20to30
30.0,9712.0,14,20to30
30.0,9890.0,15,20to30
26.0,9654.0,16,20to30
30.0,9752.0,17,20to30
26.0,9653.0,18,20to30
29.0,9817.0,19,20to30
30.0,9764.0,20,20to30
30.0,9918.0,21,20to30
30.0,9917.0,22,20to30
30.0,9905.0,23,20to30
30.0,9911.0,24,20to30
30.0,9899.0,25,20to30
30.0,9910.0,26,20to30
29.0,9886.0,27,20to30
30.0,9887.0,28,20to30
30.0,9868.0,29,20to30
40.0,10376.0,0,30to40
40.0,10417.0,1,30to40
40.0,10391.0,2,30to40
40.0,10474.0,3,30to40
40.0,10396.0,4,30to40
32.0,9948.0,5,30to40
40.0,10465.0,6,30to40
31.0,9934.0,7,30to40
40.0,10417.0,8,30to40
40.0,10421.0,9,30to40
40.0,10386.0,10,30to40
40.0,10416.0,11,30to40
40.0,10504.0,12,30to40
34.0,10083.0,13,30to40
40.0,10341.0,14,30to40
40.0,10333.0,15,30to40
40.0,10414.0,16,30to40
40.0,10412.0,17,30to40
40.0,10441.0,18,30to40
40.0,10391.0,19,30to40
40.0,10382.0,20,30to40
31.0,9934.0,21,30to40
40.0,10470.0,22,30to40
40.0,10415.0,23,30to40
27.0,9700.0,24,30to40
40.0,10285.0,25,30to40
36.0,10190.0,26,30to40
40.0,10348.0,27,30to40
39.0,10385.0,28,30to40
40.0,10335.0,29,30to40
20.0,9198.0,0,10to20
11.0,8570.0,1,10to20
20.0,9186.0,2,10to20
20.0,9176.0,3,10to20
20.0,9185.0,4,10to20
20.0,9220.0,5,10to20
20.0,9046.0,6,10to20
20.0,9228.0,7,10to20
20.0,9181.0,8,10to20
20.0,9189.0,9,10to20
20.0,9177.0,10,10to20
20.0,9218.0,11,10to20
20.0,9171.0,12,10to20
20.0,9182.0,13,10to20
19.0,9146.0,14,10to20
20.0,9161.0,15,10to20
20.0,9218.0,16,10to20
15.0,8957.0,17,10to20
20.0,9263.0,18,10to20
16.0,8972.0,19,10to20
20.0,9274.0,20,10to20
20.0,9312.0,21,10to20
20.0,9204.0,22,10to20
20.0,9210.0,23,10to20
20.0,9199.0,24,10to20
20.0,9313.0,25,10to20
20.0,9128.0,26,10to20
20.0,9282.0,27,10to20
20.0,9278.0,28,10to20
20.0,9171.0,29,10to20
30.0,9870.0,0,20to30
30.0,9876.0,1,20to30
30.0,9902.0,2,20to30
30.0,9885.0,3,20to30
30.0,9927.0,4,20to30
30.0,9880.0,5,20to30
30.0,9837.0,6,20to30
30.0,9879.0,7,20to30
30.0,9865.0,8,20to30
30.0,9873.0,9,20to30
30.0,9777.0,10,20to30
30.0,9887.0,11,20to30
30.0,9879.0,12,20to30
30.0,9927.0,13,20to30
30.0,9712.0,14,20to30
30.0,9890.0,15,20to30
26.0,9654.0,16,20to30
30.0,9752.0,17,20to30
26.0,9653.0,18,20to30
29.0,9817.0,19,20to30
30.0,9764.0,20,20to30
30.0,9918.0,21,20to30
30.0,9917.0,22,20to30
30.0,9905.0,23,20to30
30.0,9911.0,24,20to30
30.0,9899.0,25,20to30
30.0,9910.0,26,20to30
29.0,9886.0,27,20to30
30.0,9887.0,28,20to30
30.0,9868.0,29,20to30
40.0,10376.0,0,30to40
40.0,10417.0,1,30to40
40.0,10391.0,2,30to40
40.0,10474.0,3,30to40
40.0,10396.0,4,30to40
32.0,9948.0,5,30to40
40.0,10465.0,6,30to40
31.0,9934.0,7,30to40
40.0,10417.0,8,30to40
40.0,10421.0,9,30to40
40.0,10386.0,10,30to40
40.0,10416.0,11,30to40
40.0,10504.0,12,30to40
34.0,10083.0,13,30to40
40.0,10341.0,14,30to40
40.0,10333.0,15,30to40
40.0,10414.0,16,30to40
40.0,10412.0,17,30to40
40.0,10441.0,18,30to40
40.0,10391.0,19,30to40
40.0,10382.0,20,30to40
31.0,9934.0,21,30to40
40.0,10470.0,22,30to40
40.0,10415.0,23,30to40
27.0,9700.0,24,30to40
40.0,10285.0,25,30to40
36.0,10190.0,26,30to40
40.0,10348.0,27,30to40
39.0,10385.0,28,30to40
40.0,10335.0,29,30to40
20.0,9198.0,0,10to20
11.0,8570.0,1,10to20
20.0,9186.0,2,10to20
20.0,9176.0,3,10to20
20.0,9185.0,4,10to20
20.0,9220.0,5,10to20
20.0,9046.0,6,10to20
20.0,9228.0,7,10to20
20.0,9181.0,8,10to20
20.0,9189.0,9,10to20
20.0,9177.0,10,10to20
20.0,9218.0,11,10to20
20.0,9171.0,12,10to20
20.0,9182.0,13,10to20
19.0,9146.0,14,10to20
20.0,9161.0,15,10to20
20.0,9218.0,16,10to20
15.0,8957.0,17,10to20
20.0,9263.0,18,10to20
16.0,8972.0,19,10to20
20.0,9274.0,20,10to20
20.0,9312.0,21,10to20
20.0,9204.0,22,10to20
20.0,9210.0,23,10to20
20.0,9199.0,24,10to20
20.0,9313.0,25,10to20
20.0,9128.0,26,10to20
20.0,9282.0,27,10to20
20.0,9278.0,28,10to20
20.0,9171.0,29,10to20
30.0,9870.0,0,20to30
30.0,9876.0,1,20to30
30.0,9902.0,2,20to30
30.0,9885.0,3,20to30
30.0,9927.0,4,20to30
30.0,9880.0,5,20to30
30.0,9837.0,6,20to30
30.0,9879.0,7,20to30
30.0,9865.0,8,20to30
30.0,9873.0,9,20to30
30.0,9777.0,10,20to30
30.0,9887.0,11,20to30
30.0,9879.0,12,20to30
30.0,9927.0,13,20to30
30.0,9712.0,14,20to30
30.0,9890.0,15,20to30
26.0,9654.0,16,20to30
30.0,9752.0,17,20to30
26.0,9653.0,18,20to30
29.0,9817.0,19,20to30
30.0,9764.0,20,20to30
30.0,9918.0,21,20to30
30.0,9917.0,22,20to30
30.0,9905.0,23,20to30
30.0,9911.0,24,20to30
30.0,9899.0,25,20to30
30.0,9910.0,26,20to30
29.0,9886.0,27,20to30
30.0,9887.0,28,20to30
30.0,9868.0,29,20to30
40.0,10376.0,0,30to40
40.0,10417.0,1,30to40
40.0,10391.0,2,30to40
